asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
SOLUSDT,P39_CAND_0551:Funding Reversal Long,Long,1607680800000,1607853600000,1.5,1.5342964058119644,1.4211360622191453,1.5350639377808546,1708.841,58.6071,2.5926,39.077,-10.125,66.1396,9800.3697,TP Hit,48
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1607868000000,1607868000000,1.6,1.5728332938467775,1.5736201038987268,1.681310966807324,2174.0,-59.0604,3.4489,41.4947,0.0,-62.5093,9737.8604,SL Hit,0
SOLUSDT,P39_CAND_0551:Low-Activity Filler Short,Short,1607871600000,1607997600000,1.6,1.6447043737016835,1.6438824324854409,1.495155743150479,1800.559,-80.4929,2.9211,20.3858,3.8407,-87.2547,9650.6056,SL Hit,35
SOLUSDT,P39_CAND_0551:ATR Expansion Short,Short,1608116400000,1608130800000,1.7,1.7338617981339857,1.732995300483744,1.5432570492743842,1271.568,-43.0576,2.1832,55.9064,0.0,-45.2408,9605.3649,SL Hit,4
SOLUSDT,P39_CAND_0551:ATR Expansion Short,Short,1608228000000,1608490800000,1.7,1.5641649306968333,1.7774111739484701,1.5633832390772946,560.988,76.2018,0.9156,5.6557,-0.8479,76.1341,9681.499,TP Hit,73
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1608501600000,1608519600000,1.6,1.6012276290533802,1.6004274153457074,1.4835452564642952,989.374,-1.2146,1.5836,47.787,-0.1548,-2.6434,9678.8557,SL Hit,5
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1608548400000,1608645600000,1.5,1.5714702201563102,1.5706848777174516,1.4405265587257616,444.107,-31.7404,0.682,7.4545,-0.4357,-31.9867,9646.869,SL Hit,27
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1608724800000,1608724800000,1.3,1.3780108463667,1.3773221852740631,1.2346525204526904,403.823,-31.5026,0.5407,7.2239,0.0,-32.0433,9614.8257,SL Hit,0
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1609192800000,1609232400000,1.5,1.5616502208360639,1.4256373656808745,1.562431436554341,1679.075,103.5153,2.5704,30.6955,-3.2122,104.1572,9718.9829,TP Hit,11
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1609272000000,1609315200000,1.6,1.5453529110706985,1.5461259740577273,1.7816083693642677,985.958,-53.8797,1.5506,46.3135,-1.3606,-54.0697,9664.9132,SL Hit,12
SOLUSDT,P39_CAND_0551:Funding Reversal Long,Long,1609419600000,1609434000000,1.5,1.5303105018279215,1.3897239601521545,1.5310760398478453,1367.495,41.4495,2.072,54.9262,-1.8959,41.2734,9706.1866,TP Hit,4
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1609527600000,1609552800000,1.8,1.8814902760284389,1.6579173259224853,1.882431491774326,1032.763,84.1601,1.9011,50.9578,-2.2883,84.5473,9790.7339,TP Hit,7
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1609610400000,1609617600000,1.9,1.7960114450354694,1.796909899985462,2.078297361131303,831.202,-86.4355,1.5361,13.0486,0.0,-87.9716,9702.7624,SL Hit,2
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1609664400000,1609678800000,2.2,2.064414610891712,2.0654473345589914,2.4196064797791776,654.475,-88.7372,1.3955,9.7731,0.0,-90.1327,9612.6297,SL Hit,4
SOLUSDT,P39_CAND_0551:ATR Expansion Short,Short,1609754400000,1609772400000,2.0,2.276345157601142,2.27520755382423,1.619188669263655,366.324,-101.2319,0.7833,5.2888,0.0,-102.0151,9510.6145,SL Hit,5
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1610100000000,1610100000000,2.7,3.074176981760069,2.4736893157906454,3.0757148391796583,377.389,141.2103,1.0896,11.6001,0.0,140.1207,9650.7352,TP Hit,0
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1610118000000,1610208000000,3.4,2.915884086266883,3.932773127169532,2.914426872830468,189.537,91.7579,0.5985,4.6924,-0.6572,91.8165,9742.5518,TP Hit,25
