strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_datetime_parsed,session,same_candle,source_sleeve
STRAT2_P35_COST_ATR_BREAKOUT,1618844400000,2021-04-19 15:00:00+00:00,1618902000000,2021-04-20 07:00:00+00:00,Short,55389.2,53490.14899344527,53463.41728480287,56913.18463291696,53463.41728480287,0.03,56.97153019664183,1.633190234901679,0.831000000000131,0.8019512592720275,1.6329512592721585,-0.33063471,55.66897467174015,9119.906036840797,TP Hit,1.2461090259944931,16,False,False,False,False,2021-04-20 07:00:00,2021-04,2021-04-19 15:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1619121600000,2021-04-22 20:00:00+00:00,1619125200000,2021-04-22 21:00:00+00:00,Short,52918.2,50900.073715379236,50874.63639718065,54523.022546840344,50874.63639718065,0.058,117.05132450800414,3.0107299377459977,1.5370000000000001,1.4753644555180219,3.0123644555180222,0.0,114.04059457025815,9233.946631411056,TP Hit,1.2575385911633323,1,False,False,False,False,2021-04-22 21:00:00,2021-04,2021-04-22 20:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1619262000000,2021-04-24 11:00:00+00:00,1619276400000,2021-04-24 15:00:00+00:00,Short,49025.3,50421.57508089574,50396.376892449516,50396.376892449516,47291.7690570798,0.069,-96.34298058180575,3.4309171902909035,1.6905000000000001,1.7386750027893214,3.4291750027893215,0.0,-99.77389777209665,9134.17273363896,SL Hit,-1.0183783918939833,4,False,False,False,False,2021-04-24 15:00:00,2021-04,2021-04-24 11:00:00,LONDON,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1619384400000,2021-04-25 21:00:00+00:00,1619395200000,2021-04-26 00:00:00+00:00,Short,48070.9,49300.096543907275,49275.45881450003,49275.45881450003,46553.70710329163,0.077,-94.64813388086007,3.7487833669404305,1.8518499999996638,1.8971051643578247,3.7489551643574885,-0.37779233800000006,-98.0191249098005,9036.153608729159,SL Hit,-1.0204537371780147,3,False,False,False,False,2021-04-26 00:00:00,2021-04,2021-04-25 21:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1619524800000,2021-04-27 12:00:00+00:00,1619589600000,2021-04-28 06:00:00+00:00,Long,55171.6,54011.48664352278,54038.50589647101,54038.50589647101,56587.44535738507,0.082,-95.1292952311318,4.476506552384434,2.2582800000000716,2.215578741754871,4.473858741754943,0.9019283320000001,-100.50773011551624,8935.645878613643,SL Hit,-1.0238455507482382,18,False,False,False,False,2021-04-28 06:00:00,2021-04,2021-04-27 12:00:00,LONDON,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1619715600000,2021-04-29 17:00:00+00:00,1619755200000,2021-04-30 04:00:00+00:00,Short,52990.0,54133.10912968577,54106.05610163495,54106.05610163495,51594.093145087696,0.041,-46.86747431711658,2.1960237371585585,1.0877299999999523,1.1091741500835124,2.1969041500834647,-0.21959013700000002,-48.84390791727514,8886.801970696368,SL Hit,-1.0242398460177642,11,False,False,False,False,2021-04-30 04:00:00,2021-04,2021-04-29 17:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620144000000,2021-05-04 16:00:00+00:00,1620180000000,2021-05-05 02:00:00+00:00,Short,53849.8,55301.559122378465,55273.92216129782,55273.92216129782,52064.39940052784,0.032,-46.456291916110786,1.7464217459580555,0.861119999999879,0.8843827545805835,1.7455027545804624,-1.3422754823615999,-46.860438179707245,8839.94153251666,SL Hit,-1.0194063134692444,10,False,False,False,False,2021-05-05 02:00:00,2021-05,2021-05-04 16:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620223200000,2021-05-05 14:00:00+00:00,1620295200000,2021-05-06 10:00:00+00:00,Long,56299.9,58051.68091020734,58080.721270842754,54886.119664886406,58080.721270842754,0.032,56.05698912663478,1.8296252945633174,0.9011200000001118,0.9292915403333027,1.8304115403334147,2.3835890215936,51.84377481047787,8891.785307327136,TP Hit,1.2390757366607337,20,False,False,False,False,2021-05-06 10:00:00,2021-05,2021-05-05 14:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620327600000,2021-05-06 19:00:00+00:00,1620345600000,2021-05-07 00:00:00+00:00,Short,55831.9,57189.656354220904,57161.075816312754,57161.075816312754,54160.912128702796,0.068,-92.32743208702139,3.842732916043511,1.897200000000099,1.94347657775422,3.8406765777543193,-1.7132982165100001,-94.4568667865549,8797.328440540581,SL Hit,-1.0215024510357367,5,False,False,False,False,2021-05-07 00:00:00,2021-05,2021-05-06 19:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620403200000,2021-05-07 16:00:00+00:00,1620460800000,2021-05-08 08:00:00+00:00,Long,57586.8,59112.93391134349,59142.50516392545,56344.44242763156,59142.50516392545,0.072,109.88164161673112,4.2011904208083655,2.06856000000023,2.1291301859012455,4.197690185901475,4.8665797517304,100.81387144419234,8898.142311984775,TP Hit,1.22841760318171,16,False,False,False,False,2021-05-08 08:00:00,2021-05,2021-05-07 16:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620565200000,2021-05-09 13:00:00+00:00,1620576000000,2021-05-09 16:00:00+00:00,Short,56494.9,57825.34655936006,57796.44833519247,57796.44833519247,54860.765229054276,0.07,-93.13125915520432,4.001208629577603,1.9767999999998576,2.0228756917313877,3.9996756917312455,-2.5688200648320003,-94.56364771994993,8803.578664264825,SL Hit,-1.0222029588807533,3,False,False,False,False,2021-05-09 16:00:00,2021-05,2021-05-09 13:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620658800000,2021-05-10 15:00:00+00:00,1620658800000,2021-05-10 15:00:00+00:00,Short,56850.7,58067.12712819713,58038.10807416005,58038.10807416005,55366.042792068816,0.076,-92.44846174298192,4.36687743087149,2.161440000000177,2.2054481068176974,4.366888106817875,0.0,-96.81533917385342,8706.763325090971,SL Hit,-1.0244389899888482,0,False,False,False,False,2021-05-10 15:00:00,2021-05,2021-05-10 15:00:00,NEW_YORK,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620835200000,2021-05-12 16:00:00+00:00,1620842400000,2021-05-12 18:00:00+00:00,Short,55512.9,54032.86090413373,54005.857975146166,56716.23538073911,54005.857975146166,0.074,109.52289309410385,4.053193153452948,2.0535,1.9982167450799897,4.05171674507999,-1.3865523326159999,106.8562522732669,8813.619577364238,TP Hit,1.2299472944585086,2,False,False,False,False,2021-05-12 18:00:00,2021-05,2021-05-12 16:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1620932400000,2021-05-13 19:00:00+00:00,1620950400000,2021-05-14 00:00:00+00:00,Short,47880.0,50153.06784763668,50128.00384571383,50128.00384571383,45006.61831254028,0.04,-90.92271390546725,1.9606613569527336,0.9576000000000932,1.0025600769140874,1.9601600769141805,-0.45457378040400004,-92.42880148201597,8721.190775882222,SL Hit,-1.0111494479738727,5,False,False,False,False,2021-05-14 00:00:00,2021-05,2021-05-13 19:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1621098000000,2021-05-15 17:00:00+00:00,1621144800000,2021-05-16 06:00:00+00:00,Short,47899.4,49401.525423610634,49376.837005108086,49376.837005108086,46025.788076664445,0.06,-90.12752541663794,2.919027762708319,1.4382000000000699,1.481305110152898,2.9195051101529677,-1.130033919456,-91.91651925989026,8629.274256622333,SL Hit,-1.0167103019737496,13,False,False,False,False,2021-05-16 06:00:00,2021-05,2021-05-15 17:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1622538000000,2021-06-01 09:00:00+00:00,1622552400000,2021-06-01 13:00:00+00:00,Short,36166.6,37320.299912279734,37301.64908773587,37301.64908773587,34726.5300799004,0.077,-88.8348932455396,2.82924564662277,1.3952400000002017,1.4361134898777745,2.8313534898779764,0.0,-91.66413889216237,8537.61011773017,SL Hit,-1.0164317338742335,4,False,False,False,False,2021-06-01 13:00:00,2021-06,2021-06-01 09:00:00,LONDON,False,STRAT2_P35_COST_ATR_BREAKOUT
