strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month
pullback_reclaim,1743631200000,2025-04-02 22:00:00+00:00,1743631200000,2025-04-02 22:00:00+00:00,Long,84855.2,83515.58420949563,83557.36289094109,83557.36289094109,86690.1552206807,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3590.243520542658,SL Hit,,0,False,False,False,False,2025-04-02 22:00:00,2025-04
pullback_reclaim,1744095600000,2025-04-08 07:00:00+00:00,1744131600000,2025-04-08 17:00:00+00:00,Short,79375.1,77256.70610566213,77218.09705713356,79375.1,77218.09705713356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.243520542658,TP Hit,,10,False,False,False,False,2025-04-08 17:00:00,2025-04
pullback_reclaim,1744639200000,2025-04-14 14:00:00+00:00,1744639200000,2025-04-14 14:00:00+00:00,Long,84383.6,84341.4082,84383.6,84383.6,85782.07201144118,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3590.243520542658,SL Hit,,0,False,False,False,False,2025-04-14 14:00:00,2025-04
pullback_reclaim,1744732800000,2025-04-15 16:00:00+00:00,1744740000000,2025-04-15 18:00:00+00:00,Long,84914.3,84083.09050293353,84125.15307947325,84125.15307947325,86098.1391370037,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3590.243520542658,SL Hit,,2,False,False,False,False,2025-04-15 18:00:00,2025-04
session_breakout,1744830000000,2025-04-16 19:00:00+00:00,1744916400000,2025-04-17 19:00:00+00:00,Long,84032.5,84755.10125,84797.5,84032.5,85464.13222627627,0.039,28.18144875000027,3.291358224375,1.638,1.6535512499997276,3.2915512499997277,0.439370498268,24.45072002735727,3614.694240570015,Time Stop Hit,0.746026481519722,24,False,False,False,False,2025-04-17 19:00:00,2025-04
pullback_reclaim,1745082000000,2025-04-19 17:00:00+00:00,1745128800000,2025-04-20 06:00:00+00:00,Long,84842.3,84799.87885000001,84842.3,84842.3,85375.78097601938,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3614.694240570015,SL Hit,,13,False,False,False,False,2025-04-20 06:00:00,2025-04
pullback_reclaim,1745190000000,2025-04-20 23:00:00+00:00,1745193600000,2025-04-21 00:00:00+00:00,Long,84837.3,85352.08881678955,85394.78620989449,84837.3,85394.78620989449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3614.694240570015,TP Hit,,1,False,False,False,False,2025-04-21 00:00:00,2025-04
pullback_reclaim,1745485200000,2025-04-24 09:00:00+00:00,1745503200000,2025-04-24 14:00:00+00:00,Long,92031.5,93207.11116723565,93253.73803625377,92031.5,93253.73803625377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3614.694240570015,TP Hit,,5,False,False,False,False,2025-04-24 14:00:00,2025-04
pullback_reclaim,1745744400000,2025-04-27 09:00:00+00:00,1745758800000,2025-04-27 13:00:00+00:00,Long,94212.4,93587.41306617377,93634.2301812644,93634.2301812644,94944.54406776946,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3614.694240570015,SL Hit,,4,False,False,False,False,2025-04-27 13:00:00,2025-04
second_retest,1745812800000,2025-04-28 04:00:00+00:00,1745820000000,2025-04-28 06:00:00+00:00,Short,93753.1,94457.19717274536,94409.99217665703,94409.99217665703,92938.27970557161,0.059,-41.54173319197612,5.552203766595988,2.7670999999996564,2.7850947692115002,5.552194769211157,0.0,-47.09393695857211,3567.600303611443,SL Hit,-1.0718611025763167,2,False,False,False,False,2025-04-28 06:00:00,2025-04
pullback_reclaim,1745964000000,2025-04-29 22:00:00+00:00,1745964000000,2025-04-29 22:00:00+00:00,Long,94730.5,93965.74912437721,94012.75550212828,94012.75550212828,95680.2749809017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3567.600303611443,SL Hit,,0,False,False,False,False,2025-04-29 22:00:00,2025-04
pullback_reclaim,1746046800000,2025-04-30 21:00:00+00:00,1746090000000,2025-05-01 09:00:00+00:00,Long,94563.2,95648.51716996139,95696.3653526377,94563.2,95696.3653526377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3567.600303611443,TP Hit,,12,False,False,False,False,2025-05-01 09:00:00,2025-05
