candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_risk,session_mode,skip_same_candle,source_mode,min_hold_candles,registered_status,execution_status,engine_proof_source,behavior_cluster,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,trades_per_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,params,selected_trade_log_path
P34_0020,8a84a6a975e9c415,cost_to_atr_gate,1.8,,0.3,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,281f31d391f35b66,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542a9bf8cd0863f0ac999bf5edaeeb18b6811868d39c0018ac523b27abae5aba,0.0,0.0,1.0,0.0,0.0,0.0,0,15.0,0.0,0.0,"{""family"": ""cost_to_atr_gate"", ""max_cost_to_risk"": 0.3, ""min_expected_R"": 1.8, ""min_hold_candles"": 2, ""min_projected_net_R"": null, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0021,18aa3b4e03836a42,projected_net_r_gate,,0.7,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,1914e68ca45c347f,-522.06,4076.23,4598.29,0.8865,14.1823,52,0.4808,25.0,27.0,163.05,-170.31,-10.04,271.97,-252.17,5.0,6.0,2b85b11092a1966007228c0fe955b1c057e0c7b6d3659c392b856ec57d30d5e2,13.0,17.0,0.0,566.04,-385.35,1.73,0,15.0,-4345.25,44.6858,"{""family"": ""projected_net_r_gate"", ""max_cost_to_risk"": 0.3, ""min_expected_R"": null, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.7, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0022,8bae4754a80f41a2,low_r_filtered,1.0,0.7,0.3,LONDON_ONLY,True,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,8a9651fc0fcca127,-522.06,4076.23,4598.29,0.8865,14.1823,52,0.4808,25.0,27.0,163.05,-170.31,-10.04,271.97,-252.17,5.0,6.0,2b85b11092a1966007228c0fe955b1c057e0c7b6d3659c392b856ec57d30d5e2,13.0,17.0,0.0,566.04,-385.35,1.73,0,15.0,-4345.25,44.6858,"{""family"": ""low_r_filtered"", ""max_cost_to_risk"": 0.3, ""min_expected_R"": 1.0, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.7, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": true, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0023,0b62924e8ca0d98c,session_aware,1.1,0.7,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,cd8b76422dc31a58,-396.82,2605.52,3002.33,0.8678,12.3125,30,0.4667,14.0,16.0,186.11,-187.65,-13.23,271.97,-252.17,2.0,5.0,ad39f4dd15ca9518edbf8c723a8820591ed170d3859ebec44ac60c687297a376,10.0,12.0,0.0,381.73,-318.07,1.36,1,14.0,-3150.19,32.713,"{""family"": ""session_aware"", ""max_cost_to_risk"": 0.3, ""min_expected_R"": 1.1, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.7, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0024,2efbb119e803d1d4,off_hours_stricter_r,1.2,0.9,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,3f6894d174a69482,-396.82,2605.52,3002.33,0.8678,12.3125,30,0.4667,14.0,16.0,186.11,-187.65,-13.23,271.97,-252.17,2.0,5.0,ad39f4dd15ca9518edbf8c723a8820591ed170d3859ebec44ac60c687297a376,10.0,12.0,0.0,381.73,-318.07,1.36,1,14.0,-3150.19,32.713,"{""family"": ""off_hours_stricter_r"", ""max_cost_to_risk"": 0.3, ""min_expected_R"": 1.2, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.9, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0025,6fd4ab6b971093b9,same_candle_hardened,1.35,0.9,0.45,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,f8314ba5c66b2292,-922.93,900.14,1823.07,0.4937,13.5858,14,0.3571,5.0,9.0,180.03,-202.56,-65.92,271.97,-252.17,2.0,6.0,60561fc06d92718adf49de27f92507b132187d1a92f2ed99836a666b97ce31e5,4.0,9.0,0.0,271.97,-252.17,1.08,0,15.0,-1818.63,19.3833,"{""family"": ""same_candle_hardened"", ""max_cost_to_risk"": 0.45, ""min_expected_R"": 1.35, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.9, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0026,f600393c12840b98,cand0190_relative,1.5,0.9,0.45,LONDON_ONLY,False,BB_ONLY,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,5e43b2167433116f,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542a9bf8cd0863f0ac999bf5edaeeb18b6811868d39c0018ac523b27abae5aba,0.0,0.0,1.0,0.0,0.0,0.0,0,15.0,0.0,0.0,"{""family"": ""cand0190_relative"", ""max_cost_to_risk"": 0.45, ""min_expected_R"": 1.5, ""min_hold_candles"": 2, ""min_projected_net_R"": 0.9, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""BB_ONLY""}",
P34_0027,753cc62f8165df36,high_pf_low_frequency,1.8,1.0,0.45,LONDON_ONLY,False,BB_ONLY,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,c19eaf200986f50e,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542a9bf8cd0863f0ac999bf5edaeeb18b6811868d39c0018ac523b27abae5aba,0.0,0.0,1.0,0.0,0.0,0.0,0,15.0,0.0,0.0,"{""family"": ""high_pf_low_frequency"", ""max_cost_to_risk"": 0.45, ""min_expected_R"": 1.8, ""min_hold_candles"": 2, ""min_projected_net_R"": 1.0, ""session_mode"": ""LONDON_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""BB_ONLY""}",
P34_0028,820261f0984356a6,stress_hardened,,1.0,0.45,NY_ONLY,False,BB_ONLY,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,f9aae694e4266f21,3014.52,10906.5,7891.98,1.382,12.3022,97,0.5567,54.0,43.0,201.97,-183.53,31.08,270.55,-247.67,9.0,6.0,144a035b1236a0838095cfe44e3cf6063f054397f0c07fe9bbfefa4e2c569b98,30.0,20.0,0.0,1040.51,-433.01,1.94,9,6.0,-5029.42,54.7069,"{""family"": ""stress_hardened"", ""max_cost_to_risk"": 0.45, ""min_expected_R"": null, ""min_hold_candles"": 2, ""min_projected_net_R"": 1.0, ""session_mode"": ""NY_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""BB_ONLY""}",
P34_0029,ba623ade5667add9,balanced_activity,1.0,1.0,0.45,NY_ONLY,False,BB_ONLY,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,1b93831c6fd7a636,3014.52,10906.5,7891.98,1.382,12.3022,97,0.5567,54.0,43.0,201.97,-183.53,31.08,270.55,-247.67,9.0,6.0,144a035b1236a0838095cfe44e3cf6063f054397f0c07fe9bbfefa4e2c569b98,30.0,20.0,0.0,1040.51,-433.01,1.94,9,6.0,-5029.42,54.7069,"{""family"": ""balanced_activity"", ""max_cost_to_risk"": 0.45, ""min_expected_R"": 1.0, ""min_hold_candles"": 2, ""min_projected_net_R"": 1.0, ""session_mode"": ""NY_ONLY"", ""skip_same_candle"": false, ""source_mode"": ""BB_ONLY""}",
