diff_type,protected_trades,rebuilt_trades,common_keys,missing_from_rebuild,extra_in_rebuild,pnl_gap,pf_gap,dd_gap,status,key
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1587027600000, ""Long"", 7043.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1587661200000, ""Long"", 7508.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1588168800000, ""Long"", 8299.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1588878000000, ""Long"", 9802.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1589072400000, ""Short"", 8690.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1589450400000, ""Long"", 9804.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1591056000000, ""Long"", 10237.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1595869200000, ""Long"", 10732.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1596344400000, ""Short"", 11179.4]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1599055200000, ""Short"", 11342.0]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1599177600000, ""Short"", 10136.3]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1600704000000, ""Short"", 10410.4]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1603292400000, ""Long"", 12744.3]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1603897200000, ""Short"", 13058.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1604581200000, ""Long"", 14873.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1604617200000, ""Long"", 15555.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1605636000000, ""Long"", 17840.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606363200000, ""Short"", 17921.0]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606752000000, ""Long"", 19350.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1608130800000, ""Long"", 20683.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1608195600000, ""Long"", 22933.3]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1608555600000, ""Short"", 22313.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609016400000, ""Long"", 26453.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609102800000, ""Short"", 26230.8]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609596000000, ""Long"", 31626.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609750800000, ""Short"", 32115.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609873200000, ""Long"", 33428.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609981200000, ""Long"", 37243.7]"
