fusion,entry_time,reason,session,expected_R
stress_hardened_router,1632265200000,FILTER_REJECTED,OFF_HOURS,1.3616447481541458
stress_hardened_router,1632481200000,FILTER_REJECTED,LONDON,1.0726282356090817
stress_hardened_router,1632970800000,FILTER_REJECTED,OFF_HOURS,1.0595489727199512
stress_hardened_router,1634292000000,FILTER_REJECTED,LONDON,0.9543248601650649
stress_hardened_router,1634317200000,FILTER_REJECTED,NEW_YORK,1.0604246596615867
stress_hardened_router,1634349600000,FILTER_REJECTED,OFF_HOURS,0.9621717766037537
stress_hardened_router,1634522400000,FILTER_REJECTED,OFF_HOURS,0.9542370231980023
stress_hardened_router,1634745600000,FILTER_REJECTED,NEW_YORK,1.0474917518598594
stress_hardened_router,1634767200000,FILTER_REJECTED,OFF_HOURS,0.9476210691891257
stress_hardened_router,1634806800000,FILTER_REJECTED,LONDON,0.9539748531707825
stress_hardened_router,1635123600000,FILTER_REJECTED,OFF_HOURS,0.9505088174466423
stress_hardened_router,1635325200000,FILTER_REJECTED,LONDON,1.063852171779796
stress_hardened_router,1635753600000,FILTER_REJECTED,LONDON,0.9570337962278145
stress_hardened_router,1635847200000,FILTER_REJECTED,LONDON,0.9514387697604426
stress_hardened_router,1636243200000,FILTER_REJECTED,OFF_HOURS,0.9224705105190506
stress_hardened_router,1636279200000,FILTER_REJECTED,LONDON,0.9205939399777832
stress_hardened_router,1636336800000,FILTER_REJECTED,OFF_HOURS,1.3114422525623097
stress_hardened_router,1636362000000,FILTER_REJECTED,LONDON,0.9415269845195415
stress_hardened_router,1636434000000,FILTER_REJECTED,OFF_HOURS,0.9449999748756697
stress_hardened_router,1636552800000,FILTER_REJECTED,NEW_YORK,0.9506123823381629
stress_hardened_router,1636581600000,FILTER_REJECTED,OFF_HOURS,1.3481281699542964
stress_hardened_router,1637024400000,FILTER_REJECTED,OFF_HOURS,1.047789898484048
stress_hardened_router,1637258400000,FILTER_REJECTED,NEW_YORK,1.0719921241092611
stress_hardened_router,1637917200000,FILTER_REJECTED,LONDON,1.0676416911029003
stress_hardened_router,1638144000000,FILTER_REJECTED,OFF_HOURS,1.0610275095873247
stress_hardened_router,1638316800000,FILTER_REJECTED,OFF_HOURS,1.4607110943395842
stress_hardened_router,1638594000000,FILTER_REJECTED,OFF_HOURS,1.3491037947603597
stress_hardened_router,1638831600000,FILTER_REJECTED,OFF_HOURS,1.3452835511095729
stress_hardened_router,1639411200000,FILTER_REJECTED,NEW_YORK,1.0609780650955145
stress_hardened_router,1640062800000,FILTER_REJECTED,OFF_HOURS,1.0582729883112616
stress_hardened_router,1640289600000,FILTER_REJECTED,NEW_YORK,1.049513064369613
stress_hardened_router,1642723200000,FILTER_REJECTED,OFF_HOURS,1.3322961897670553
stress_hardened_router,1642802400000,FILTER_REJECTED,OFF_HOURS,1.358700585448623
stress_hardened_router,1643248800000,FILTER_REJECTED,OFF_HOURS,1.0773954277783795
stress_hardened_router,1645351200000,FILTER_REJECTED,LONDON,1.0513959084239808
stress_hardened_router,1645480800000,FILTER_REJECTED,OFF_HOURS,1.3498948449469312
stress_hardened_router,1645664400000,FILTER_REJECTED,OFF_HOURS,1.0656273474455003
stress_hardened_router,1645999200000,FILTER_REJECTED,OFF_HOURS,1.0752023848936938
stress_hardened_router,1646431200000,FILTER_REJECTED,OFF_HOURS,1.3456172371745925
stress_hardened_router,1646798400000,FILTER_REJECTED,OFF_HOURS,1.3434191597885
stress_hardened_router,1646888400000,FILTER_REJECTED,OFF_HOURS,1.3439662996332735
stress_hardened_router,1648425600000,FILTER_REJECTED,OFF_HOURS,1.3150769730143268
stress_hardened_router,1648782000000,FILTER_REJECTED,OFF_HOURS,1.3202343546423052
stress_hardened_router,1649714400000,FILTER_REJECTED,OFF_HOURS,1.3355976228671056
stress_hardened_router,1651982400000,FILTER_REJECTED,OFF_HOURS,1.3283053861974994
stress_hardened_router,1652403600000,FILTER_REJECTED,OFF_HOURS,1.4792749186437044
stress_hardened_router,1654488000000,FILTER_REJECTED,OFF_HOURS,1.3091008893900598
stress_hardened_router,1654567200000,FILTER_REJECTED,OFF_HOURS,1.3495316856879365
stress_hardened_router,1654660800000,FILTER_REJECTED,OFF_HOURS,1.460714690197049
stress_hardened_router,1655010000000,FILTER_REJECTED,OFF_HOURS,1.0640546626607037
stress_hardened_router,1655082000000,FILTER_REJECTED,OFF_HOURS,1.072264778795944
stress_hardened_router,1655168400000,FILTER_REJECTED,OFF_HOURS,1.3614338189552049
stress_hardened_router,1655244000000,FILTER_REJECTED,OFF_HOURS,1.0895815344131707
stress_hardened_router,1655330400000,FILTER_REJECTED,OFF_HOURS,1.4816934923970044
stress_hardened_router,1655539200000,FILTER_REJECTED,LONDON,1.0804066927723306
stress_hardened_router,1656583200000,FILTER_REJECTED,LONDON,1.0603084041102244
stress_hardened_router,1656637200000,FILTER_REJECTED,OFF_HOURS,1.3533488314993178
stress_hardened_router,1658127600000,FILTER_REJECTED,OFF_HOURS,1.3300247949124044
stress_hardened_router,1658372400000,FILTER_REJECTED,OFF_HOURS,1.4649554367567053
stress_hardened_router,1660258800000,FILTER_REJECTED,OFF_HOURS,1.4426574498454052
stress_hardened_router,1660546800000,FILTER_REJECTED,OFF_HOURS,1.4375663651153763
stress_hardened_router,1660892400000,FILTER_REJECTED,OFF_HOURS,1.3317057082357973
stress_hardened_router,1662703200000,FILTER_REJECTED,OFF_HOURS,1.3241670354599986
stress_hardened_router,1663556400000,FILTER_REJECTED,OFF_HOURS,1.3261405168307394
stress_hardened_router,1664251200000,FILTER_REJECTED,OFF_HOURS,1.058102711850698
stress_hardened_router,1666926000000,FILTER_REJECTED,OFF_HOURS,1.6649860199385127
stress_hardened_router,1667887200000,FILTER_REJECTED,OFF_HOURS,1.3292287679959311
stress_hardened_router,1668045600000,FILTER_REJECTED,OFF_HOURS,0.9839883940491251
stress_hardened_router,1668740400000,FILTER_REJECTED,OFF_HOURS,1.657003699271171
stress_hardened_router,1671069600000,FILTER_REJECTED,OFF_HOURS,1.4310648213113566
stress_hardened_router,1673488800000,FILTER_REJECTED,OFF_HOURS,1.2904810174270398
stress_hardened_router,1673665200000,FILTER_REJECTED,OFF_HOURS,1.3439840289720018
stress_hardened_router,1673690400000,FILTER_REJECTED,LONDON,0.9642034811885597
stress_hardened_router,1674252000000,FILTER_REJECTED,OFF_HOURS,1.3161644119495575
stress_hardened_router,1674615600000,FILTER_REJECTED,OFF_HOURS,1.672865538868795
stress_hardened_router,1676592000000,FILTER_REJECTED,OFF_HOURS,1.4525572912329585
stress_hardened_router,1677448800000,FILTER_REJECTED,OFF_HOURS,1.6318754804609679
stress_hardened_router,1677812400000,FILTER_REJECTED,OFF_HOURS,1.3279954465303787
stress_hardened_router,1678500000000,FILTER_REJECTED,OFF_HOURS,1.450013158058891
stress_hardened_router,1678658400000,FILTER_REJECTED,OFF_HOURS,1.329375857702526
stress_hardened_router,1679036400000,FILTER_REJECTED,OFF_HOURS,1.061798042662986
stress_hardened_router,1679094000000,FILTER_REJECTED,OFF_HOURS,1.0698167478011982
stress_hardened_router,1679256000000,FILTER_REJECTED,NEW_YORK,1.057819967171182
stress_hardened_router,1680080400000,FILTER_REJECTED,LONDON,1.0505308740061163
stress_hardened_router,1681167600000,FILTER_REJECTED,OFF_HOURS,1.301668044062947
stress_hardened_router,1682553600000,FILTER_REJECTED,OFF_HOURS,1.4608537133703496
stress_hardened_router,1692309600000,FILTER_REJECTED,OFF_HOURS,1.3458099444508107
stress_hardened_router,1694491200000,FILTER_REJECTED,OFF_HOURS,1.415579437000687
stress_hardened_router,1696284000000,FILTER_REJECTED,OFF_HOURS,1.4367949436398093
high_pf_conservative_fusion,1578974400000,FILTER_REJECTED,OFF_HOURS,1.3146811634589277
high_pf_conservative_fusion,1579050000000,FILTER_REJECTED,OFF_HOURS,0.9842094490135486
