system,asset,month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,expectancy,average_winner,average_loser,max_dd_contribution,long_trades,short_trades,long_pnl,short_pnl,sleeve_contribution,fees,slippage,funding_impact,status,negative_or_zero_reason
Executable Phase12 baseline 1h,BNBUSDT.P,2022-05,33.08902315547181,16,8,8,0.5,1.0458907803918807,754.1276037355058,-721.038580580034,2.068063947216988,94.26595046693822,-90.12982257250425,0.027385453120053978,9,7,-134.798822082348,167.8878452378198,strategy column,42.92119149332028,42.144868181959254,-7.839667102782101,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-06,188.56740685827026,17,9,8,0.5294117647058824,1.263521359697637,904.1352343567003,-715.5678274984299,11.092200403427663,100.45947048407781,-89.44597843730374,0.031177156356739438,9,8,-90.44041413085728,279.00782098912754,strategy column,41.345221687049694,42.11094566771231,-0.19558358595749903,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-07,-257.5834467728063,5,1,4,0.2,0.28960817200179895,105.0100356137318,-362.59348238653814,-51.516689354561265,105.0100356137318,-90.64837059663454,0.01833281587459343,5,0,-257.5834467728063,0.0,strategy column,18.851790518274846,18.128627286916924,-1.0415071957818,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-08,141.83004388602686,5,3,2,0.6,1.7956824533085602,320.07959971860487,-178.249555832578,28.366008777205373,106.69319990620163,-89.124777916289,0.008860028408144873,3,2,-71.28440853919443,213.1144524252213,strategy column,18.92027426250975,18.144984277194364,-2.2864509496852,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-09,14.574453061040685,6,3,3,0.5,1.051672693948765,296.627737828652,-282.05328476761133,2.4290755101734476,98.87591260955067,-94.01776158920377,0.018576448607794345,2,4,179.66766420169856,-165.09321114065787,strategy column,23.523644839223348,26.811142905251383,6.4665812133601,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-10,-236.15203920369936,3,0,3,0.0,0.0,0.0,-236.15203920369936,-78.71734640123312,0.0,-78.71734640123312,0.019230247823975522,2,1,-142.05813726695686,-94.09390193674248,strategy column,14.759566098382477,14.665499077659451,-1.3237367921307,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-11,163.73141718882766,18,10,8,0.5555555555555556,1.253025980843301,810.8247182132244,-647.0933010243969,9.096189843823758,81.08247182132244,-80.8866626280496,0.018973336703457338,11,7,236.71296156652792,-72.98154437770026,strategy column,42.71644413541764,43.11841241785348,-12.514139958452201,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-12,-265.30158313298466,3,0,3,0.0,0.0,0.0,-265.30158313298466,-88.43386104432822,0.0,-88.43386104432822,0.017770702457303444,2,1,-175.14768728897502,-90.15389584400965,strategy column,9.55699238368073,10.109412990315061,-1.5997820072000002,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-01,12.376542894405745,6,3,3,0.5,1.0464832903861705,278.63443452782417,-266.25789163341847,2.062757149067624,92.87814484260805,-88.75263054447282,0.010075087026415554,3,3,113.30619420795041,-100.92965131354467,strategy column,23.637285201164133,22.668566281320274,0.9957585604825001,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-02,17.251555697669097,8,4,4,0.5,1.0544059485494912,334.341068105966,-317.0895124082969,2.156444462208637,83.5852670264915,-79.27237810207423,0.01723670320484028,2,6,205.90458302305606,-188.65302732538697,strategy column,29.04999938564933,30.31625982331104,-1.2000396879148005,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-03,140.25532253709258,12,7,5,0.5833333333333334,1.3026004062515835,603.7554356879115,-463.50011315081883,11.687943544757715,86.25077652684449,-92.70002263016377,0.027178253276854202,10,2,120.53402448902108,19.721298048071503,strategy column,51.07102721047283,54.73501849967082,-24.980318710803804,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-04,219.2510494921684,11,7,4,0.6363636363636364,1.5986215951023157,585.5108892406728,-366.2598397485045,19.931913590197126,83.64441274866753,-91.56495993712612,0.010727772465694736,7,4,223.52288248236536,-4.271832990196955,strategy column,61.65144314078271,61.86745186443443,-32.85051329772131,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-05,-252.51532190757268,3,0,3,0.0,0.0,0.0,-252.51532190757268,-84.1717739691909,0.0,-84.1717739691909,0.016558293165545978,3,0,-252.51532190757268,0.0,strategy column,22.107526068626875,21.061227947600212,-41.99486690730641,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-06,-146.45424926359397,8,3,5,0.375,0.6298734125656206,249.23267038942652,-395.6869196530205,-18.306781157949246,83.0775567964755,-79.1373839306041,0.02642536222235483,3,5,-135.134626665435,-11.319622598158944,strategy column,21.984108679305805,23.709196860731165,-0.4206458559862001,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-07,82.32162687119197,8,5,3,0.625,1.286768550570163,369.3880667144638,-287.06643984327184,10.290203358898996,73.87761334289276,-95.68881328109062,0.02083620433593456,7,1,24.278581519708638,58.043045351483336,strategy column,40.05911354669555,40.83751501653943,-23.6801384781037,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-08,-231.21394070527174,3,0,3,0.0,0.0,0.0,-231.21394070527174,-77.07131356842392,0.0,-77.07131356842392,0.018489593787742238,3,0,-231.21394070527174,0.0,strategy column,18.115799504208987,16.642547577996034,-5.1262503809676,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-09,-42.49326136023861,2,1,1,0.5,0.5597617213523197,54.030061170389594,-96.5233225306282,-21.246630680119306,54.030061170389594,-96.5233225306282,0.009600460904071649,1,1,54.030061170389594,-96.5233225306282,strategy column,12.223004524012815,11.105620943931758,-0.43877574089800003,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-10,-238.16529935939815,5,1,4,0.2,0.30853714932617415,106.27156970349901,-344.4368690628972,-47.63305987187963,106.27156970349901,-86.1092172657243,0.034081497482755796,3,2,-265.4118085463449,27.246509186946724,strategy column,23.257333786589566,22.79819367546727,-3.9540635269732003,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-11,-246.34375327812623,3,0,3,0.0,0.0,0.0,-246.34375327812623,-82.11458442604207,0.0,-82.11458442604207,0.016186636921994266,0,3,0.0,-246.34375327812623,strategy column,12.40904611605438,12.862660345880382,-5.056724946688799,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2023-12,-224.29509948317514,5,1,4,0.2,0.21704677818326562,62.17808082091693,-286.47318030409207,-44.859019896635026,62.17808082091693,-71.61829507602302,0.01646647898956295,0,5,0.0,-224.29509948317514,strategy column,21.158138718942233,23.829462087896914,-4.0850771202386,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-01,-223.88852605566285,8,2,6,0.25,0.30414149898534765,97.85580232317312,-321.74432837883603,-27.986065756957856,48.92790116158656,-53.624054729806005,0.025622667107670357,7,1,-185.24933750212497,-38.639188553537906,strategy column,20.504779536019125,19.96274024989554,-29.253991904967602,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-02,237.86587044893372,10,7,3,0.7,2.215459058936104,433.5663086497387,-195.70043820080502,23.786587044893373,61.938044092819815,-65.23347940026834,0.00772068402960436,8,2,109.42926587682774,128.43660457210598,strategy column,44.239653939440494,44.8270540691207,-24.488834714481097,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-03,495.3390516521959,22,14,8,0.6363636363636364,1.793840430683706,1119.3171617436387,-623.9781100914429,22.515411438736177,79.95122583883133,-77.99726376143036,0.017073030161737647,6,16,243.8793997973695,251.45965185482646,strategy column,60.955320622466886,60.895022991716274,-13.134725727438099,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-04,123.31585924689713,16,9,7,0.5625,1.2058499420270679,722.372910381174,-599.0570511342769,7.707241202931071,80.26365670901934,-85.57957873346813,0.027616456971832484,11,5,10.800723428071862,112.51513581882534,strategy column,61.9273234928592,63.634446599108344,-22.7139278833603,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-05,-2.9824810393801044,4,2,2,0.5,0.9829655028659472,172.1022905220874,-175.0847715614675,-0.7456202598450261,86.0511452610437,-87.54238578073375,0.009150775081628912,3,1,81.36639732005361,-84.34887835943371,strategy column,19.45112715438887,19.427307744713076,-7.7450945392196004,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-06,501.03511209266605,6,6,0,1.0,0.0,501.03511209266605,0.0,83.50585201544435,83.50585201544435,0.0,0.0,2,4,196.2804081395205,304.75470395314557,strategy column,32.0118370165906,32.119717936976215,0.5177702384079991,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-07,-146.02242969469978,6,2,4,0.3333333333333333,0.5977491806444505,216.9909506848453,-363.0133803795451,-24.337071615783298,108.49547534242265,-90.75334509488627,0.02672552476500339,3,3,-275.4373115258728,129.414881831173,strategy column,20.603054805027757,21.563845428982845,0.0,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-08,537.8239191636709,7,6,1,0.8571428571428571,6.937366255667776,628.406830172448,-90.5829110087772,76.83198845195298,104.734471695408,-90.5829110087772,0.0,3,4,102.85733784353371,434.96658132013715,strategy column,25.84410185922038,26.567951471571742,-2.9855098382300995,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-09,-284.4553611795792,3,0,3,0.0,0.0,0.0,-284.4553611795792,-94.8184537265264,0.0,-94.8184537265264,0.019005483071649214,1,2,-94.98892316624661,-189.4664380133326,strategy column,13.538116433062356,13.780349003919579,0.0,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-10,149.115117054621,3,2,1,0.6666666666666666,2.5697909573345545,244.10554642224383,-94.99042936762282,49.705039018207,122.05277321112192,-94.99042936762282,0.009396415726651383,2,1,39.895587931613136,109.21952912300787,strategy column,15.438173160817698,15.41116553255042,-1.5989464005815999,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-11,-226.41957799911705,9,3,6,0.3333333333333333,0.5479360855065571,274.43786879096774,-500.85744679008474,-25.157730888790784,91.47928959698925,-83.4762411316808,0.033882473851077795,4,5,-115.83537848316978,-110.58419951594723,strategy column,29.1223124639096,29.25856751827988,-3.6388821954595003,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2024-12,-214.43882578588426,6,2,4,0.3333333333333333,0.3854229489570573,134.482152343676,-348.92097812956024,-35.739804297647375,67.241076171838,-87.23024453239006,0.026759770230689477,2,4,-34.67595739290116,-179.76286839298308,strategy column,13.801888431483553,13.764408510881221,-4.6184184550932,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-01,-41.37704464115829,5,2,3,0.4,0.8145085875242197,181.69012644182052,-223.0671710829788,-8.27540892823166,90.84506322091026,-74.35572369432627,0.008918965293597108,4,1,4.614248581178131,-45.99129322233642,strategy column,19.53057952072278,19.48244158174854,0.30399616912499994,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-02,-71.92317623361859,9,4,5,0.4444444444444444,0.8156523025181295,318.22640098413746,-390.149577217756,-7.9914640259576215,79.55660024603436,-78.0299154435512,0.017110666869280755,4,5,34.460774562471414,-106.38395079609002,strategy column,22.793537612932315,22.6629990022088,1.4016467763638003,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-03,-74.35107423082316,10,4,6,0.4,0.8436539981135651,401.20361430435,-475.55468853517317,-7.435107423082316,100.3009035760875,-79.2591147558622,0.018659466356448464,6,4,-101.80623479232386,27.455160561500705,strategy column,47.11975117961662,47.75619376909141,-22.347229241114597,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-04,226.18754032790739,8,5,3,0.625,2.0148287993854215,449.0700013547191,-222.88246102681177,28.273442540988423,89.81400027094382,-74.29415367560392,0.017038004597229425,4,4,-6.635289772389875,232.82283010029727,strategy column,41.110880955883374,40.01420167849481,1.5975131277756,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-05,-276.6790008682614,3,0,3,0.0,0.0,0.0,-276.6790008682614,-92.22633362275381,0.0,-92.22633362275381,0.01783714986778996,3,0,-276.6790008682614,0.0,strategy column,19.040533921012276,19.566804608314996,-3.2504910281999995,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-06,-36.02750607819358,2,1,1,0.5,0.5975955839081585,53.50308711979696,-89.53059319799054,-18.01375303909679,53.50308711979696,-89.53059319799054,0.0,1,1,53.50308711979696,-89.53059319799054,strategy column,7.866793114180654,7.753068323013652,0.0,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-07,-159.82412666949335,7,2,5,0.2857142857142857,0.5906119672015783,230.57352510600214,-390.3976517754955,-22.832018095641907,115.28676255300107,-78.0795303550991,0.029317696402445637,2,5,82.46587822241624,-242.29000489190958,strategy column,29.99654230803263,30.413163936076163,-0.40807516103539987,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-08,-209.3918796529875,3,0,3,0.0,0.0,0.0,-209.3918796529875,-69.7972932176625,0.0,-69.7972932176625,0.016838753882642367,2,1,-167.6852511741959,-41.706628478791586,strategy column,9.502880880409233,9.770100298242156,0.161571527494,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2025-09,-193.29015822345082,5,1,4,0.2,0.211367981454094,51.805340916747305,-245.09549914019811,-38.65803164469016,51.805340916747305,-61.27387478504953,0.016122506610905234,2,3,-121.64645690348436,-71.64370131996645,strategy column,13.553072803718088,13.48139530790123,-0.39384391008620007,negative,not attributable without implemented PF8.1 sleeve logs
