month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status
2022-04,-232.6167127301435,9,2,7,0.2222222222222222,0.33640842658583925,117.92528034149363,-350.5419930716372,58.39967164202987,58.40429179256472,-1.602899273962,negative
2022-05,0.7389279915472713,13,4,9,0.3076923076923077,1.0028221881037287,262.5669721856848,-261.82804419413753,35.77484371298786,35.77844936913278,-2.5429363511000003,positive
2022-06,-222.58627155770571,10,2,8,0.2,0.33625326819066365,112.76192812524867,-335.3481996829544,17.12426809397802,17.12355164374643,0.37052896618,negative
2022-07,-40.78887089768551,11,4,7,0.36363636363636365,0.8842239315725239,311.51943816565296,-352.3083090633384,47.92459744867575,47.90924320826427,2.8419940913140005,negative
2022-08,-177.74631296855483,9,2,7,0.2222222222222222,0.45134250883807026,146.21957801404932,-323.96589098260415,38.87817791996612,38.88470887741765,1.536453042487,negative
2022-09,-180.56578688959408,10,3,7,0.3,0.4677594164671096,158.69016704582359,-339.25595393541766,39.55436660326714,39.570156498295226,0.32647947151599993,negative
2022-10,-241.69133443640288,3,0,3,0.0,0.0,0.0,-241.69133443640288,21.357090233381726,21.37686925562038,-0.8955584860000001,negative
2022-11,-166.58882926341474,9,2,7,0.2222222222222222,0.4224409333538091,121.84717474700456,-288.4360040104193,44.50664490044077,44.499324099761665,0.20766148479300006,negative
2022-12,-241.10076002319164,8,1,7,0.125,0.11744909503304952,32.08547622254686,-273.1862362457385,62.65878459149934,62.75177424334157,0.22269102388999995,negative
2023-01,-118.43244231933613,10,3,7,0.3,0.5881810604978615,169.15132559214703,-287.58376791148316,77.70006854764455,77.71686489163655,5.309881828838,negative
2023-02,-154.93583247114492,4,0,4,0.0,0.0,0.0,-154.93583247114492,18.06765687167527,18.072582412882014,1.87491895,negative
2023-03,-183.40887366405178,13,2,11,0.15384615384615385,0.3162322238356878,84.82382178835556,-268.23269545240737,34.17558817957989,34.18180299620456,-0.037010282319999865,negative
2023-04,-147.84778022685938,5,1,4,0.2,0.03233729088702296,4.940767719135491,-152.78854794599488,21.291770529078022,21.295427139556985,0.276602827374,negative
2023-05,-187.17710315155526,7,1,6,0.14285714285714285,0.04792542746001546,9.422100892090524,-196.59920404364578,21.004557804154885,20.989680760033703,-0.04652188383200001,negative
2023-06,-133.30574278831193,2,0,2,0.0,0.0,0.0,-133.30574278831193,14.080891601405039,14.06971114583127,-0.37015162317,negative
2023-07,-146.33406146332274,5,1,4,0.2,0.029317435165119445,4.4197140391919465,-150.75377550251469,28.075378228653086,28.062002062046737,0.900661995678,negative
2023-08,-138.00124883864459,10,3,7,0.3,0.5187160047817329,148.7343380699947,-286.7355869086393,120.14129225144332,120.08622802236002,0.05910451743600076,negative
2023-09,-47.84407867734235,23,9,14,0.391304347826087,0.8887893272991271,382.3671368058167,-430.21121548315904,160.15053977172252,160.1433369825674,-1.2597945280970002,negative
