strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1624273200000,2021-06-21 11:00:00+00:00,1624363200000,2021-06-22 12:00:00+00:00,Short,1939.7,1797.4100478155638,1796.511791919604,2044.3951098178852,1796.511791919604,0.857,121.94248902206189,1.601351655488969,0.7970100000000545,0.7698053028374324,1.566815302837487,0.07683375798189998,120.26430360859102,9015.007814217806,TP Hit,1.3590888097060743,25,False,False,False,False,2021-06-22 12:00:00,2021-06,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3676685408656495,3.245000716308356,0.03099476873325758,1.3315019495783011
P39_CAND_0551:BB Expansion Long,1624975200000,2021-06-29 14:00:00+00:00,1625011200000,2021-06-30 00:00:00+00:00,Long,2225.4,2148.8194463587506,2149.894393555528,2149.894393555528,2327.688897839545,1.211,-92.73905045955313,2.6485898747702237,1.307879999999912,1.3017610552974674,2.6096410552973794,-0.6339493585243001,-94.75369097579905,8920.254123242006,SL Hit,-1.0142366540366503,10,False,False,False,False,2021-06-30 00:00:00,2021-06,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3547192408125308,5.892180288591903,0.07803632824173262,1.2902796634039986
P39_CAND_0551:BB Expansion Long,1625083200000,2021-06-30 20:00:00+00:00,1625119200000,2021-07-01 06:00:00+00:00,Long,2243.6,2168.7162953168813,2169.8011959148384,2169.8011959148384,2343.5183390071684,1.227,-91.88230564618652,2.7069560471769067,1.3987799999998438,1.331173033693399,2.729953033693243,0.279141273,-94.86840296636343,8825.385720275643,SL Hit,-1.0147007883312742,10,False,False,False,False,2021-07-01 06:00:00,2021-06,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3539289727766577,5.71605035387015,0.07745451196301244,1.2908038611523607
P39_CAND_0551:BB Expansion Short,1625486400000,2021-07-05 12:00:00+00:00,1625544000000,2021-07-06 04:00:00+00:00,Short,2193.4,2261.0578632486363,2259.927899298987,2259.927899298987,2103.819028751406,1.351,-91.40577324890751,3.008986286624454,1.5131199999998526,1.5265812959760814,3.039701295975934,-0.5123534545388,-93.90240608099316,8731.483314194651,SL Hit,-1.016984813312246,16,False,False,False,False,2021-07-06 04:00:00,2021-07,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3465173587700807,6.561041037139189,0.09862089598910712,1.2735189161430585
P39_CAND_0551:BB Expansion Long,1626271200000,2021-07-14 14:00:00+00:00,1626332400000,2021-07-15 07:00:00+00:00,Long,2004.1,1941.3125239753936,1942.2836658082977,1942.2836658082977,2086.4443530440312,0.723,-45.39534516579039,1.4262666274171047,0.7591499999999671,0.7021355451896608,1.4612855451896278,0.12189620216999998,-46.943507995377495,8684.539806199275,SL Hit,-1.0157101168421347,17,False,False,False,False,2021-07-15 07:00:00,2021-07,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3320808184559834,3.0094483747767327,0.048683708183729496,1.2647451224895525
P39_CAND_0551:BB Expansion Long,1628089200000,2021-08-04 15:00:00+00:00,1628092800000,2021-08-04 16:00:00+00:00,Long,2638.7,2729.3923534802066,2730.7577323463797,2570.1480327106065,2730.7577323463797,0.646,58.58726034821356,1.7338938301741067,0.852719999999812,0.8820347475478612,1.7347547475476732,0.172636394,56.68073012403945,8741.220536323315,TP Hit,1.322972294833602,1,False,False,False,False,2021-08-04 16:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3428897227377377,3.6412849717217797,0.053117147701247286,1.2606650358937017
P39_CAND_0551:ATR Expansion Short,1628168400000,2021-08-05 13:00:00+00:00,1628172000000,2021-08-05 14:00:00+00:00,Short,2604.8,2700.2837570924303,2698.934289947457,2698.934289947457,2466.7985650788146,0.235,-22.43868291672107,0.6233473414583606,0.3007999999999401,0.317124779068763,0.6179247790687031,0.0,-23.06203025817943,8718.158506065134,SL Hit,-1.0143355534495102,1,False,False,False,False,2021-08-05 14:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:ATR Expansion Short,1.4660060111805642,1.2412721205270638,0.013186184558463343,1.4098945875275286
P39_CAND_0551:BB Expansion Long,1628175600000,2021-08-05 15:00:00+00:00,1628308800000,2021-08-07 04:00:00+00:00,Long,2807.2,2948.645698556248,2950.120758935716,2701.889053566285,2950.120758935716,0.839,118.67294108869234,2.414577270544346,1.1745999999996948,1.237575658373465,2.41217565837316,1.181508326,115.076855492148,8833.235361557285,TP Hit,1.343124369747047,37,False,False,False,False,2021-08-07 04:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3571310844279012,6.008261254917506,0.05705258055675383,1.2891303924651434
P39_CAND_0551:BB Expansion Long,1628330400000,2021-08-07 10:00:00+00:00,1628337600000,2021-08-07 12:00:00+00:00,Long,3044.5,3147.502005929335,3149.076544201436,2966.607688174966,3149.076544201436,1.156,119.07031885431142,3.5789771594271556,1.7455600000002522,1.8201662425483554,3.5657262425486076,0.0,115.49134169488427,8948.726703252169,TP Hit,1.322364216903766,2,False,False,False,False,2021-08-07 12:00:00,2021-08,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3425785132214498,7.144703401975763,0.09172539926693384,1.26323128202168
P39_CAND_0551:ATR Expansion Short,1628442000000,2021-08-08 17:00:00+00:00,1628506800000,2021-08-09 11:00:00+00:00,Short,3011.4,3124.044691722443,3122.4834499974445,3122.4834499974445,2848.6248250038334,0.204,-22.979517111378367,0.6258153585556891,0.31415999999999256,0.31849331189971053,0.6326533118997031,-0.21467933835119996,-23.39065313158286,8925.336050120588,SL Hit,-1.0140546744365115,18,False,False,False,False,2021-08-09 11:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:ATR Expansion Short,1.4653413717336967,1.4731480088065922,0.013261633563239922,1.400333364070756
P39_CAND_0551:BB Expansion Long,1628510400000,2021-08-09 12:00:00+00:00,1628686800000,2021-08-11 13:00:00+00:00,Long,3135.4,3270.6222055664907,3272.2583347338573,3034.1271989916227,3272.2583347338573,0.895,121.02387398200912,2.8666949369910046,1.4051500000001464,1.464335604793073,2.869485604793219,4.998423488672,113.15875555634611,9038.494805676934,TP Hit,1.3352272695143967,49,False,False,False,False,2021-08-11 13:00:00,2021-08,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3513829317561392,10.734604030456223,0.10599691055812945,1.2329506294565533
P39_CAND_0551:BB Expansion Short,1628780400000,2021-08-12 15:00:00+00:00,1628820000000,2021-08-13 02:00:00+00:00,Short,3038.5,3125.641417603439,3124.079377914482,3124.079377914482,2923.1514195632194,1.075,-93.67702392369702,3.3132260119618486,1.5802499999997848,1.6791926656289433,3.259442665628728,-0.92939453305,-96.06085540260888,8942.433950274324,SL Hit,-1.018252524463523,11,False,False,False,False,2021-08-13 02:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.347854859987958,7.502063210640577,0.08766204421510594,1.2663087723459991
P39_CAND_0551:BB Expansion Long,1628845200000,2021-08-13 09:00:00+00:00,1629010800000,2021-08-15 07:00:00+00:00,Long,3239.7,3154.5852493085886,3156.1633309740755,3156.1633309740755,3351.8770403137846,1.092,-92.94530775502109,3.4912797461224896,1.769039999999881,1.7232651787117321,3.492305178711613,6.47667737535,-102.91326487649357,8839.520685397829,SL Hit,-1.0188908856899384,46,False,False,False,False,2021-08-15 07:00:00,2021-08,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3428478968795414,13.460262300184104,0.16112998587490865,1.1952929647596617
