system,sleeve,sleeve_family,setup_time,setup_datetime,setup_close_time,setup_close_datetime,trigger_time,trigger_datetime,trigger_close_time,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_model,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,exit_reason,R,MFE,MAE,hold_candles,expected_r,same_candle_priority
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1592485200000,2020-06-18 13:00:00+00:00,1592488800000,2020-06-18 14:00:00+00:00,1592488800000,2020-06-18 14:00:00+00:00,1592489100000,1592489100000,2020-06-18 14:05:00+00:00,1592517600000,2020-06-18 22:00:00+00:00,Short,limit_retest,9398.7,9378.5,9378.5,9475.0,9271.6,0.8250000000000001,16.665000000000603,7.745595000000002,3.876963750000001,3.8686312500000004,7.745595000000002,0.8971885971675001,8.022216402833102,6302.82419019545,Time Stop,Time Stop,0.26474442988205665,0.013436964686605686,0.00386223626671766,96,1.6657929226736772,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592528400000,2020-06-19 01:00:00+00:00,1592532000000,2020-06-19 02:00:00+00:00,1592532000000,2020-06-19 02:00:00+00:00,1592532300000,1592532300000,2020-06-19 02:05:00+00:00,1592546400000,2020-06-19 06:00:00+00:00,Short,vwap_reclaim,9326.1,9330.8,9330.8,9409.5,9187.2,0.755,-3.548499999999176,7.042979750000001,3.52060275,3.522377,7.042979750000001,0.0,-10.591479749999177,6292.232710445451,Stop Loss,Stop Loss,-0.05635491606713344,0.009339380877322822,0.0011591125979776638,48,1.6654676258992835,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592557200000,2020-06-19 09:00:00+00:00,1592560800000,2020-06-19 10:00:00+00:00,1592563500000,2020-06-19 10:45:00+00:00,1592563800000,1592563800000,2020-06-19 10:50:00+00:00,1592584800000,2020-06-19 16:40:00+00:00,Long,vwap_reclaim,9382.9,9306.7,9306.7,9292.8,9533.0,0.6980000000000001,-53.18759999999924,6.522670400000001,3.2746321000000003,3.2480383000000006,6.522670400000001,0.65452507,-60.36479546999924,6231.867914975452,Stop Loss,Stop Loss,-0.8457269700332809,0.003893252619126353,0.007769452940988355,71,1.665926748057711,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592654400000,2020-06-20 12:00:00+00:00,1592658000000,2020-06-20 13:00:00+00:00,1592659200000,2020-06-20 13:20:00+00:00,1592659500000,1592659500000,2020-06-20 13:25:00+00:00,1592678700000,2020-06-20 18:45:00+00:00,Short,vwap_reclaim,9282.1,9286.7,9286.7,9359.9,9152.4,0.801,-3.6846000000002914,7.4368044000000015,3.71748105,3.7193233500000007,7.436804400000001,-0.0879344091054,-11.033469990894892,6220.834444984557,Stop Loss,Stop Loss,-0.059125964010288,0.005595716486570981,0.0019284429170122748,65,1.6670951156812588,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1592740800000,2020-06-21 12:00:00+00:00,1592744400000,2020-06-21 13:00:00+00:00,1592744700000,2020-06-21 13:05:00+00:00,1592745000000,1592746500000,2020-06-21 13:35:00+00:00,1592775000000,2020-06-21 21:30:00+00:00,Short,limit_retest,9344.6,9330.0,9330.0,9394.6,9261.3,1.244,18.162400000000453,11.6156012,5.8123412,5.80326,11.6156012,-1.165626756,7.712425556000453,6228.546870540557,Time Stop,Time Stop,0.29200000000000725,0.004665796288765743,0.004514907005115308,96,1.666000000000022,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592780400000,2020-06-21 23:00:00+00:00,1592784000000,2020-06-22 00:00:00+00:00,1592785800000,2020-06-22 00:30:00+00:00,1592786100000,1592786100000,2020-06-22 00:35:00+00:00,1592790600000,2020-06-22 01:50:00+00:00,Short,vwap_reclaim,9312.9,9369.6,9369.6,9364.9,9226.3,1.197,-67.86990000000087,11.18147625,5.57377065,5.6077056,11.18147625,0.0,-79.05137625000087,6149.495494290557,Stop Loss,Stop Loss,-1.0903846153846293,0.00014925533399901404,0.006131280267156349,16,1.6653846153846223,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592798400000,2020-06-22 04:00:00+00:00,1592802000000,2020-06-22 05:00:00+00:00,1592802000000,2020-06-22 05:00:00+00:00,1592802300000,1592802300000,2020-06-22 05:05:00+00:00,1592802300000,2020-06-22 05:05:00+00:00,Long,vwap_reclaim,9414.7,9410.0,9410.0,9357.2,9510.6,1.069,-5.024300000000777,10.061802149999998,5.032157150000001,5.0296449999999995,10.06180215,0.0,-15.086102150000777,6134.4093921405565,Stop Loss,Stop Loss,-0.08173913043479526,0.003388318268240054,0.0006118091920082656,1,1.6678260869565154,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1592827200000,2020-06-22 12:00:00+00:00,1592830800000,2020-06-22 13:00:00+00:00,1592830800000,2020-06-22 13:00:00+00:00,1592831100000,1592831700000,2020-06-22 13:15:00+00:00,1592844900000,2020-06-22 16:55:00+00:00,Long,limit_retest,9490.3,9586.2,9586.2,9432.8,9586.2,1.066,102.22940000000156,10.1677745,5.0583299,0.0,5.0583299,0.6862794884608,91.37534601154076,6225.784738152097,Take Profit,Take Profit,1.667826086956547,0.014532733422547241,0.004141070356047678,45,1.667826086956547,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1592845200000,2020-06-22 17:00:00+00:00,1592848800000,2020-06-22 18:00:00+00:00,1592848800000,2020-06-22 18:00:00+00:00,1592849100000,1592849400000,2020-06-22 18:10:00+00:00,1592859900000,2020-06-22 21:05:00+00:00,Long,limit_retest,9586.4,9706.1,9706.1,9514.6,9706.1,0.867,103.77990000000062,8.36329875,4.155704399999999,0.0,4.155704399999999,0.0,95.41660125000061,6321.201339402098,Take Profit,Take Profit,1.6671309192200827,0.016857214387048357,0.004730660101810937,36,1.6671309192200827,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592902800000,2020-06-23 09:00:00+00:00,1592906400000,2020-06-23 10:00:00+00:00,1592907300000,2020-06-23 10:15:00+00:00,1592907600000,1592907600000,2020-06-23 10:20:00+00:00,1592921700000,2020-06-23 14:15:00+00:00,Short,vwap_reclaim,9593.7,9673.4,9673.4,9668.6,9468.8,0.843,-67.18709999999908,8.12108265,4.0437445499999995,4.0773380999999995,8.121082649999998,0.0,-75.30818264999908,6245.893156752099,Stop Loss,Stop Loss,-1.064085447263008,0.00038566976244834914,0.008057370983040877,48,1.667556742323125,SL_FIRST
