row_type,status,teacher_trades,live_trades,exact_matches,time_side_matches,missing_teacher_exact,extra_live_exact,pnl_gap,pf_gap,dd_gap,key
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1590087600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1591117200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1599145200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1605636000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1606752000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1608130800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1608195600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1608555600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1609016400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1610874000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1611342000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1611756000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614070800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614614400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614765600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1619802000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1622192400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1622311200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1623240000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1623614400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1624366800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1624557600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1624633200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1628190000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1632139200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1633086000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1633532400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1638565200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1643029200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1643058000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1643994000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1645124400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1650992400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1652115600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1652302800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1654635600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1655283600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1657227600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1658134800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1658246400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1658952000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1660143600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1660899600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1663077600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1667934000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1676491200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1678395600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1682514000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1685991600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1686081600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1687363200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1693324800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1693515600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1699542000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1701806400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1704290400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1705086000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1710961200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1711393200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1712948400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1714554000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1719259200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1725645600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1734642000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1736280000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1738612800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1740477600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1740938400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1741028400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1741118400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1744221600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1762279200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1763665200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1764702000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1765306800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1772470800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1772618400000, ""Long""]"
