group,bucket,trades,net_pnl,winners,losers,avg_R,avg_hold,avg_cost_to_risk,avg_projected_net_R
month,2024-01,6,-653.06,1,5,-0.620943270727715,16.5,0.03221934475920506,1.1675352889804544
month,2024-02,11,-251.43,5,6,-0.004236664336099997,6.545454545454546,0.027182028294450065,1.0951016920094718
month,2024-03,19,-612.37,9,10,-0.029756996959876242,16.0,0.016584259048521666,0.9647883233861616
month,2024-04,6,277.57,4,2,0.38810001731840477,8.666666666666666,0.023134529774824924,1.0228790168664923
month,2024-05,4,61.33,2,2,0.1345112822394834,8.5,0.01869402444133715,1.216707819960651
month,2024-06,4,-416.2,1,3,-0.42645445718078073,19.25,0.04555419680941345,1.2854297223555187
month,2024-07,3,-534.39,0,3,-1.022697222224757,23.333333333333332,0.014004595023921417,1.2751891523328749
month,2024-08,7,236.98,4,3,0.32419794241976685,8.285714285714286,0.0176948123342835,1.3042089633098777
month,2024-09,3,-648.08,0,3,-1.0302044508439978,22.666666666666668,0.02780094726666033,1.3035408457721118
month,2024-10,3,-543.18,0,3,-1.0385074590350074,5.0,0.03234323241466241,1.4817301469291386
month,2024-11,9,752.8,6,3,0.48662993470272414,27.88888888888889,0.010820389387622878,1.0974800201258803
month,2024-12,7,413.1,4,3,0.2754421349758243,13.571428571428571,0.008552660554617689,1.2076976456761639
month,2025-01,8,214.72,4,4,0.18498366779854666,52.5,0.010031371787645937,1.2993909241454469
month,2025-02,6,158.66,3,3,0.1701383471450911,25.333333333333332,0.0067780843578298154,1.301505777310212
month,2025-03,9,540.57,5,4,0.28373762582367246,14.11111111111111,0.008738235935818205,1.2032145045575495
month,2025-04,6,128.02,3,3,0.15677371606533166,32.833333333333336,0.010015942410186914,1.2749402420495064
month,2025-05,3,-678.18,0,3,-1.0302416582748588,22.666666666666668,0.016272424663493504,1.2533559370349787
month,2025-06,2,152.81,1,1,0.17944320713155393,6.0,0.01434070289356044,1.3774467339731538
month,2025-07,4,725.4,3,1,0.7449329169905258,15.25,0.01601353788204694,1.2936669983836468
month,2025-08,2,606.16,2,0,1.474512389468827,19.0,0.02751999330751556,1.3394982827753985
month,2025-09,4,-675.46,1,3,-0.39465052311658955,32.0,0.03473804483904741,1.2886005508346248
month,2025-10,3,-225.63,1,2,-0.26150403960133645,10.333333333333334,0.02175494991170297,1.298941670615404
month,2025-11,3,-188.1,1,2,-0.24719120214438553,11.333333333333334,0.011090510262672701,1.2264915481754104
month,2025-12,7,-502.99,2,5,-0.36746525719810996,12.857142857142858,0.01480474654353746,1.2642569282129947
month,2026-01,7,264.33,4,3,0.28485189859465504,30.285714285714285,0.01267728757500522,1.2153135290885257
month,2026-02,10,716.11,6,4,0.40165016428180733,15.5,0.015061934171187558,1.2766816708532767
month,2026-03,6,663.56,4,2,0.5714565062013421,30.166666666666668,0.012703552894155347,1.299590884344954
month,2026-04,3,-718.58,0,3,-1.035447369252535,22.666666666666668,0.033601322467034955,1.2637727955899478
month,2026-05,4,607.32,3,1,0.7686350428606203,30.75,0.03240876097033281,1.2469179672370503
month,2026-06,4,73.17,2,2,0.1368089554045558,12.75,0.018791289785751654,1.2263238169491657
