asset,month,net_pnl,trades,winners,losers,win_rate,gross_profit,gross_loss,profit_factor,best_trade,worst_trade,dominant_sleeve,dominant_session,status
SOLUSDT,2022-07,-236.63,5,1,4,0.2,61.97,298.6,0.2075,61.97,-101.63,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2022-08,-289.32,3,0,3,0.0,0.0,289.32,0.0,-93.02,-98.91,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2022-09,-300.23,7,2,5,0.2857,166.57,466.79,0.3568,108.79,-95.52,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2022-10,-87.82,7,3,4,0.4286,227.27,315.09,0.7213,111.64,-91.03,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2022-11,-155.29,9,3,6,0.3333,308.3,463.59,0.665,114.22,-93.22,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2022-12,64.12,8,4,4,0.5,320.23,256.12,1.2503,115.67,-90.46,P39_CAND_0551:Funding Reversal Long,NEW_YORK,positive
SOLUSDT,2023-01,-245.18,10,4,6,0.4,287.34,532.53,0.5396,110.5,-93.06,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2023-02,37.33,8,4,4,0.5,386.78,349.45,1.1068,122.21,-93.39,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2023-03,127.04,10,5,5,0.5,517.47,390.43,1.3254,120.55,-89.7,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2023-04,-186.06,6,2,4,0.3333,163.59,349.65,0.4679,108.45,-92.88,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2023-05,-129.64,2,0,2,0.0,0.0,129.64,0.0,-40.51,-89.12,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2023-06,-135.41,8,3,5,0.375,256.1,391.51,0.6541,105.46,-94.87,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2023-07,-170.15,2,0,2,0.0,0.0,170.15,0.0,-84.03,-86.12,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2023-08,56.58,5,3,2,0.6,236.46,179.88,1.3146,99.2,-90.67,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2023-09,-236.6,3,0,3,0.0,0.0,236.6,0.0,-74.62,-85.26,P39_CAND_0551:BB Expansion Long,LONDON,negative
SOLUSDT,2023-10,90.47,14,7,7,0.5,664.5,574.03,1.1576,108.52,-85.31,P39_CAND_0551:BB Expansion Long,LONDON,positive
SOLUSDT,2023-11,-243.81,11,3,8,0.2727,305.37,549.18,0.5561,103.22,-80.95,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2023-12,-192.14,3,0,3,0.0,0.0,192.14,0.0,-38.25,-77.52,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2024-01,-190.81,9,2,7,0.2222,59.55,250.36,0.2378,47.8,-74.59,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2024-02,-186.5,3,0,3,0.0,0.0,186.5,0.0,-36.96,-74.84,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2024-03,-215.99,13,5,8,0.3846,279.55,495.55,0.5641,67.11,-71.42,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
SOLUSDT,2024-04,234.52,8,5,3,0.625,449.09,214.57,2.0929,92.49,-72.05,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2024-05,-50.5,9,4,5,0.4444,311.85,362.35,0.8606,90.44,-73.85,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2024-06,-176.9,7,2,5,0.2857,189.39,366.29,0.517,98.36,-73.83,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2024-07,-3.42,6,3,3,0.5,171.23,174.64,0.9804,85.94,-70.96,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2024-08,202.07,6,4,2,0.6667,348.03,145.96,2.3845,88.1,-75.75,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2024-09,-179.26,3,0,3,0.0,0.0,179.26,0.0,-35.88,-73.2,P39_CAND_0551:ATR Expansion Long,NEW_YORK,negative
SOLUSDT,2024-10,280.91,5,4,1,0.8,353.39,72.48,4.8757,89.69,-72.48,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2024-11,-208.75,5,1,4,0.2,88.41,297.16,0.2975,88.41,-75.86,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2024-12,-176.99,4,0,4,0.0,0.0,176.99,0.0,-34.25,-72.61,P39_CAND_0551:BB Expansion Long,OFF_HOURS,negative
SOLUSDT,2025-01,98.8,9,5,4,0.5556,345.7,246.9,1.4002,87.43,-71.52,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2025-02,-94.39,8,3,5,0.375,218.98,313.37,0.6988,88.24,-72.11,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2025-03,85.69,5,3,2,0.6,223.5,137.81,1.6218,95.56,-68.95,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2025-04,-7.42,9,4,5,0.4444,308.14,315.56,0.9765,95.03,-71.57,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2025-05,-196.43,5,1,4,0.2,84.25,280.68,0.3002,84.25,-70.74,P39_CAND_0551:BB Expansion Long,LONDON,negative
SOLUSDT,2025-06,-105.6,9,3,6,0.3333,152.19,257.79,0.5904,90.43,-70.15,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2025-07,-199.92,3,0,3,0.0,0.0,199.92,0.0,-64.28,-68.24,P39_CAND_0551:ATR Expansion Short,NEW_YORK,negative
SOLUSDT,2025-08,260.97,7,5,2,0.7143,345.04,84.07,4.104,83.75,-67.76,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
