asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1658134800000,1658185200000,1478.0,1547.9160646251642,1425.8301049223433,1548.690409830079,1.755,122.7027,2.6552,2.6577,-0.0229,120.0703,9147.7835,TP Hit,14
ETHUSDT,P39_CAND_0551:ATR Expansion Short,Short,1658350800000,1658433600000,1519.9,1590.7836396832463,1589.9886453605661,1416.5670319591507,1.319,-93.4955,2.0515,2.0115,-0.596,-94.951,9052.8326,SL Hit,23
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1658437200000,1658516400000,1585.7,1529.7151802673027,1530.4804204775414,1660.5544160034149,1.663,-93.1028,2.5905,2.5365,0.7722,-96.4654,8956.3672,SL Hit,22
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1658520000000,1658548800000,1525.2,1579.9300493919613,1579.1404791523853,1452.1937789550204,1.685,-92.2201,2.6161,2.6953,-0.2409,-94.5953,8861.7719,SL Hit,8
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1658948400000,1658973600000,1581.3,1651.0943605611187,1528.991369080535,1651.9203207214794,1.722,120.1859,2.7831,2.8171,0.0936,117.3092,8979.081,TP Hit,7
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1659024000000,1659096000000,1729.2,1660.1141734584044,1660.9446457812949,1821.8968808593124,1.333,-92.0914,2.259,2.2667,0.6888,-95.0392,8884.0418,SL Hit,20
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1659459600000,1659484800000,1668.3,1616.903113934065,1617.7119699190243,1736.5544862235772,1.786,-91.7948,2.9337,2.927,0.0464,-94.7749,8789.2669,SL Hit,7
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1660050000000,1660089600000,1705.2,1656.6071452781227,1742.3309359317855,1655.7792556502977,1.213,58.9431,2.0389,2.0959,0.5073,56.3969,8845.6639,TP Hit,11
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1660136400000,1660179600000,1823.3,1887.9041948955255,1774.608594172308,1888.848619205128,1.85,119.5178,3.4329,3.3567,0.2328,115.8521,8961.5159,TP Hit,12
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1660899600000,1660910400000,1734.8,1674.17397456047,1780.4979397465884,1673.3373059075163,1.998,121.1308,3.4056,3.35,0.0,117.7252,9079.2412,TP Hit,3
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1661029200000,1661032800000,1531.3,1579.6636926487568,1578.8742555209963,1467.159645109727,1.941,-93.8739,3.0192,3.1045,0.0,-96.8931,8982.348,SL Hit,1
ETHUSDT,P39_CAND_0551:Low-Activity Filler Short,Short,1661281200000,1661407200000,1655.1,1706.6641099030612,1705.811204300911,1568.610392473406,1.8,-92.8154,3.0256,3.0112,0.5066,-96.3476,8886.0005,SL Hit,35
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1661529600000,1661554800000,1591.8,1527.9990024337822,1639.5937229861836,1527.2353847414115,1.889,120.5201,2.9467,2.8781,-0.2678,117.8412,9003.8417,TP Hit,7
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1661788800000,1661832000000,1521.5,1570.3199120743197,1484.5456653391593,1571.105464806723,2.485,121.3175,3.8416,3.7661,-0.901,118.3769,9122.2186,TP Hit,12
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1661878800000,1661886000000,1485.8,1533.5826006507943,1532.816192554517,1422.5541770076154,1.976,-94.4184,2.9832,3.0755,0.0,-97.4016,9024.817,SL Hit,2
ETHUSDT,P39_CAND_0551:ATR Expansion Long,Long,1661889600000,1662120000000,1543.4,1625.2361633568712,1486.9505413661022,1626.0491879508465,0.811,66.3691,1.2849,1.3244,-0.2011,65.2854,9090.1024,TP Hit,64
ETHUSDT,P39_CAND_0551:ATR Expansion Short,Short,1662487200000,1662516000000,1586.2,1507.769471042374,1640.322691292771,1507.0159630608437,1.705,133.7241,2.6376,2.6317,0.0625,131.024,9221.1263,TP Hit,8
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1662584400000,1662620400000,1640.3,1595.0059994589842,1595.803901409689,1700.2368035976542,2.109,-95.525,3.4116,3.3489,-0.6328,-98.3039,9122.8224,SL Hit,10
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1663077600000,1663225200000,1600.8,1656.4449391837563,1655.6171306184472,1541.602077090614,1.689,-93.9843,2.7507,2.7663,18.5531,-115.2882,9007.5342,SL Hit,41
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1663538400000,1663556400000,1332.1,1284.2110888787897,1368.091300956793,1283.5693042266764,2.546,121.9252,3.3306,3.2125,-0.2153,118.8099,9126.3442,TP Hit,5
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1663876800000,1663938000000,1323.9,1278.6797130978202,1279.3193727842122,1384.3125377997053,2.076,-93.8773,2.7015,2.6151,-0.3993,-96.1795,9030.1647,SL Hit,17
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1663941600000,1663966800000,1269.4,1311.6767342628352,1311.02122365101,1213.0021893735973,2.201,-93.0511,2.8405,2.7634,0.1355,-96.027,8934.1377,SL Hit,7
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1664301600000,1664330400000,1313.2,1268.920788899054,1346.6728151850882,1268.286645576266,2.723,120.5723,3.5156,3.5512,-0.0471,117.1038,9051.2415,TP Hit,8
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1665666000000,1665673200000,1216.3,1250.6995892670573,1250.0745519910618,1171.0153444568589,2.735,-94.0829,3.3736,3.4599,0.0,-97.4565,8953.785,SL Hit,2
ETHUSDT,P39_CAND_0551:ATR Expansion Long,Long,1665687600000,1666562400000,1285.9,1344.3263637080765,1245.4174245735692,1344.9988631396463,2.248,131.3425,2.9564,2.973,2.3124,126.0737,9079.8587,TP Hit,243
