trace_type,entry_time,entry_datetime,exit_time,side,sleeve,entry_model,exit_reason,net_pnl,R
worst_month_trace,1602134100000,2020-10-08 05:15:00+00:00,1602141300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-11.28191399999971,-0.0640301318267347
worst_month_trace,1602148200000,2020-10-08 09:10:00+00:00,1602152400000,Short,variant_c_5m_quality,wick_rejection,Stop Loss,-46.547961749998834,-0.8920454545454393
worst_month_trace,1602162600000,2020-10-08 13:10:00+00:00,1602167400000,Long,variant_b_rescue_vwap,vwap_reclaim,Take Profit,62.325694749999464,1.6660839160838823
worst_month_trace,1602175500000,2020-10-08 16:45:00+00:00,1602204000000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-18.70783864527251,-0.3086150490730738
worst_month_trace,1602227400000,2020-10-09 07:10:00+00:00,1602240000000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-51.607445708000206,-1.0757575757575752
worst_month_trace,1602249300000,2020-10-09 13:15:00+00:00,1602277800000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-17.696789119999654,-0.28246013667425374
worst_month_trace,1602299700000,2020-10-10 03:15:00+00:00,1602321000000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-39.339461505999715,-0.8204887218045074
worst_month_trace,1602374700000,2020-10-11 00:05:00+00:00,1602380700000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-44.50270000000067,-0.946784922394687
worst_month_trace,1602390000000,2020-10-11 04:20:00+00:00,1602418500000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-23.913886963999328,-0.46704545454543805
worst_month_trace,1602440400000,2020-10-11 18:20:00+00:00,1602444900000,Long,variant_c_5m_quality,wick_rejection,Stop Loss,-48.68185160000018,-1.0528905289052792
worst_month_trace,1602463200000,2020-10-12 00:40:00+00:00,1602491700000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-3.7807524719998264,0.054567022538556394
worst_month_trace,1602501900000,2020-10-12 11:25:00+00:00,1602509400000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-47.53048019999999,-1.0604453870625743
worst_month_trace,1602519300000,2020-10-12 16:15:00+00:00,1602537600000,Long,variant_c_5m_quality,wick_rejection,Stop Loss,-1.8288259999997527,0.053036783575712114
worst_month_trace,1602562500000,2020-10-13 04:15:00+00:00,1602591000000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-16.22887792500012,-0.3240589198036017
