family,behavior_cluster,candidates,avg_pnl,max_pf
low_r_filtered,1f10a12b898faa92,1,-318.93,0.3395
low_r_filtered,32a7589474e53b19,1,-481.88,0.8315
low_r_filtered,333ed0113a82c1f2,1,8998.42,1.2926
low_r_filtered,4a865fe081d09251,1,-239.36,0.8248
low_r_filtered,5125c9c3be2b3731,1,5509.21,1.2554
low_r_filtered,619335d90708f051,1,6159.54,1.4049
low_r_filtered,631e5d5d16e67f01,1,660.67,1.6335
low_r_filtered,6be8ffe18d4ab809,1,3885.9,1.3153
low_r_filtered,6f0ba289c79a2f2e,1,0.0,0.0
low_r_filtered,78a4b350dd659496,1,757.07,1.1375
low_r_filtered,8a9651fc0fcca127,1,-522.06,0.8865
low_r_filtered,98fc941d2c1afc70,1,0.0,0.0
low_r_filtered,9e6b59172f9ae211,1,349.71,1.3898
low_r_filtered,a4ef2fff63bfd93e,1,0.0,0.0
low_r_filtered,af6b0f05a9ed81ac,1,-394.28,0.7921
low_r_filtered,b91aceaceecd3b43,1,-312.05,0.8533
low_r_filtered,bd819d0de1eebbed,1,-175.77,0.8084
low_r_filtered,c2cfad5bedf7e73f,1,0.0,0.0
low_r_filtered,c56b2843de2ab0cb,1,7530.75,1.4977
low_r_filtered,d16a7a428021138d,1,3127.73,1.2354
low_r_filtered,d20d19d079e737ef,1,-481.88,0.8315
low_r_filtered,d4fa32a69535b03e,1,7949.55,1.5183
low_r_filtered,dd94722fec29961a,1,0.0,0.0
low_r_filtered,e4eed3614e64eb74,1,1049.59,1.0988
low_r_filtered,ed63e661573ad059,1,0.0,0.0
low_r_filtered,f8b8c5b6652d98f9,1,429.74,1.202
low_r_filtered,fa2fe5227e0f16b1,1,-530.83,0.7737
off_hours_stricter_r,07103f93223a9e75,1,914.38,1.0708
off_hours_stricter_r,1007537ff8ba5b3d,1,0.0,0.0
off_hours_stricter_r,15356bffccb550c5,1,602.24,1.3662
off_hours_stricter_r,1cbfe5424c982cc8,1,3428.56,1.3999
off_hours_stricter_r,1eb9f1fa35955246,1,-104.83,0.9269
off_hours_stricter_r,25e6a8aff678ea73,1,1913.06,1.2357
off_hours_stricter_r,2cb442796f691c49,1,5499.22,1.4603
off_hours_stricter_r,2d99c9619221900d,1,5710.73,1.2802
