asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
BNBUSDT,P39_CAND_0551:ATR Expansion Short,Short,1688133600000,1688144400000,234.9,240.36532194588577,240.24519934621267,227.18220098068102,3.464,-18.9319,0.8232,0.7971,0.0,-19.755,7219.9165,SL Hit,3
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1689184800000,1689242400000,243.1,246.2212715229611,239.6355562551665,246.3444437448335,21.523,67.1791,5.2658,5.0186,-9.587,71.5003,7291.4168,TP Hit,16
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1689361200000,1689408000000,244.8,250.9008479399875,238.2536388794522,251.02636112054776,11.417,69.6534,2.8297,3.2597,-4.8429,71.6666,7363.0833,TP Hit,13
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1689685200000,1689742800000,240.1,243.71403611571048,236.12404590724313,243.83595409275685,19.095,69.01,4.6192,4.8104,0.0,64.3908,7427.4741,TP Hit,16
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1692309600000,1692309600000,214.6,220.3339221407184,220.22381023560064,207.12359689499914,13.544,-77.6602,2.9454,3.3875,0.0,-80.6056,7346.8685,SL Hit,0
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1692619200000,1692622800000,210.5,207.46164786643857,207.56543058172943,213.19456941827056,26.103,-79.3101,5.455,5.5804,0.0,-84.7651,7262.1034,SL Hit,1
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1692644400000,1692709200000,209.8,205.60361123658706,205.70646446882145,213.59353553117856,18.415,-77.2765,3.8248,4.4721,-0.7752,-80.3261,7181.7773,SL Hit,18
BNBUSDT,P39_CAND_0551:ATR Expansion Short,Short,1694509200000,1694512800000,208.9,212.422681392483,212.31652313091757,204.10021530362366,5.463,-19.2444,1.1508,1.2901,0.0,-20.3953,7161.3821,SL Hit,1
BNBUSDT,P39_CAND_0551:ATR Expansion Short,Short,1698163200000,1698411600000,223.9,230.44481675420369,230.32965192823957,214.58052210764066,1.421,-9.3002,0.3228,0.3342,-0.4366,-9.1864,7152.1957,SL Hit,69
BNBUSDT,P39_CAND_0551:ATR Expansion Short,Short,1699354800000,1699502400000,246.9,251.7042054237958,251.57841621568798,240.28237567646804,1.979,-9.5075,0.4934,0.5656,-0.45,-9.5509,7142.6447,SL Hit,41
