diff_type,protected_trades,executable_trades,common_entry_side_price_keys,missing_from_executable,extra_in_executable,status,note,key
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1583686800000, ""Short"", 8282.2]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1583996400000, ""Short"", 7498.4]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584057600000, ""Short"", 4759.9]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584126000000, ""Long"", 4968.9]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584309600000, ""Long"", 5906.6]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584345600000, ""Short"", 4780.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584529200000, ""Long"", 5078.3]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584619200000, ""Long"", 5620.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584694800000, ""Long"", 6597.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1584968400000, ""Long"", 6324.2]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1585364400000, ""Short"", 6245.8]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1585530000000, ""Long"", 5897.2]"
