candidate_id,candidate_hash,family,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,execution_status,live_known,trade_log_path,trade_log_hash,params,track_high_pnl,track_quality,track_stress,track_monthly,promotion_reason,score,registered_status,behavior_cluster
P37_CAND_0020,fea0917f9ce517d1,phase37_focused_strategy1_guard,3567.46,19756.5,16189.04,1.2204,9.9849,277.0,0.5271,146.0,131.0,135.32,-123.58,12.88,39.0,30.0,0.0,571.29,-441.91,7.0,8.0,-26279.06,262.5506,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": null, ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 999.0, ""min_adx"": 22, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.8}",False,False,False,False,NOT_PROMOTED,15.779,,
P37_CAND_0021,6efa14a84ab321e7,phase37_focused_strategy1_guard,1312.49,11534.4,10221.91,1.1284,10.1601,185.0,0.4973,92.0,93.0,125.37,-109.91,7.09,30.0,25.0,0.0,406.36,-345.91,5.0,10.0,-16714.41,165.804,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": null, ""disallowed_sources"": [], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 22, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,11.5164,,
P37_CAND_0022,80e5ba01a42c1154,phase37_focused_strategy1_guard,1666.38,11370.96,9704.59,1.1717,11.436,175.0,0.5086,89.0,86.0,127.76,-112.84,9.52,30.0,24.0,0.0,418.76,-357.04,6.0,9.0,-15969.55,157.4378,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 22, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,12.8654,,
P37_CAND_0023,61f3f6be5e3e85ee,phase37_focused_strategy1_guard,1463.17,11102.55,9639.38,1.1518,11.436,174.0,0.5057,88.0,86.0,126.17,-112.09,8.41,30.0,24.0,0.0,396.44,-357.04,5.0,10.0,-16380.02,161.3873,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 22, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,11.4632,,
P37_CAND_0024,9033d35f57d78a34,phase37_focused_strategy1_guard,1365.09,9918.39,8553.31,1.1596,8.6131,149.0,0.4966,74.0,75.0,134.03,-114.04,9.16,30.0,22.0,0.0,400.45,-360.76,6.0,9.0,-13937.27,138.0286,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 22, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,14.2545,,
P37_CAND_0025,d154597dd040045d,phase37_focused_strategy1_guard,1939.78,11761.8,9822.02,1.1975,8.6297,168.0,0.5,84.0,84.0,140.02,-116.93,11.55,31.0,21.0,0.0,384.83,-368.18,7.0,8.0,-15269.55,150.8967,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 0, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,16.3999,,
P37_CAND_0026,bbf0ecdf93d15c4b,phase37_focused_strategy1_guard,2448.04,13729.97,11281.93,1.217,10.6271,193.0,0.513,99.0,94.0,138.69,-120.02,12.68,31.0,22.0,0.0,539.88,-386.73,7.0,8.0,-18323.25,179.2194,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 0, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,15.9045,,
P37_CAND_0027,30a82f03e91dec29,phase37_focused_strategy1_guard,2358.24,11009.68,8651.43,1.2726,7.5804,157.0,0.5287,83.0,74.0,132.65,-116.91,15.02,31.0,17.0,0.0,376.7,-379.31,7.0,8.0,-14369.48,143.1532,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 0, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.03, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,18.294,,
P37_CAND_0028,6eb592fdbf8b5f27,phase37_focused_strategy1_guard,1573.31,8702.89,7129.58,1.2207,7.3484,128.0,0.5078,65.0,63.0,133.89,-113.17,12.29,29.0,16.0,0.0,332.41,-360.76,7.0,8.0,-11386.9,113.7147,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 0, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.035, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,17.1061,,
P37_CAND_0029,31b212495f2a5719,phase37_focused_strategy1_guard,1573.31,8702.89,7129.58,1.2207,7.3484,128.0,0.5078,65.0,63.0,133.89,-113.17,12.29,29.0,16.0,0.0,332.41,-360.76,7.0,8.0,-11386.9,113.7147,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 0, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.035, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,17.1061,,
P37_CAND_0030,86d25b51656beac1,phase37_focused_strategy1_guard,806.99,7827.08,7020.09,1.115,10.0146,126.0,0.4841,61.0,65.0,128.31,-108.0,6.4,27.0,20.0,0.0,444.28,-357.04,6.0,9.0,-12700.91,126.7753,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": null, ""disallowed_sources"": [], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 12, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.035, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.45}",False,False,False,False,NOT_PROMOTED,12.9497,,
P37_CAND_0031,86db55f1f6aa9da2,phase37_focused_strategy1_guard,1104.71,8048.89,6944.18,1.1591,10.0582,125.0,0.496,62.0,63.0,129.82,-110.23,8.84,28.0,18.0,0.0,456.76,-368.18,5.0,10.0,-12025.6,120.0807,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": null, ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.08, ""min_adx"": 12, ""min_atr_pct"": 0.3, ""min_bb_width"": 0.035, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.7, ""off_hours_min_expected_R"": 1.45}",False,False,False,False,NOT_PROMOTED,12.6666,,
