row_type,status,teacher_trades,live_trades,exact_matches,time_side_matches,missing_teacher_time_side,extra_live_time_side,pnl_gap,pf_gap,key
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1621270800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1621468800000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622012400000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622181600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623103200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623862800000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624046400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624388400000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624762800000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1627261200000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1627426800000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1629712800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1630141200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632186000000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632265200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632484800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1634292000000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1634320800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1580173200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1582736400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1583996400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1584064800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1584529200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1584612000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1584626400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1585360800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1585789200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1585846800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1586167200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1587027600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1587412800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1587657600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1588165200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1588179600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1588874400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1589072400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1589446800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1591059600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1604624400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1605675600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1606748400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1608130800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1608195600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1608548400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1608904800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1610870400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1611223200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1611241200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1611342000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1611406800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1611547200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1612404000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614049200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614139200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614484800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614614400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614762000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614776400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1614884400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1619146800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1619402400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1619798400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620230400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620846000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620867600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1621681200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1621944000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622001600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622080800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622178000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622192400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622311200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622361600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1622786400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623121200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623254400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623614400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1623679200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624042800000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624190400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624557600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624626000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624640400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624759200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1624975200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1627437600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1628190000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1628272800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1628845200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1629082800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1629403200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632139200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632481200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1632970800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1633086000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1633532400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1634317200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1634331600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1634745600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1637024400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1637917200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1638147600000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1638561600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1638565200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1639411200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1640062800000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1642730400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1643058000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1643990400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1643994000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1645124400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1645351200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1645664400000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1645675200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1645736400000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1646892000000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1648429200000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1650992400000, ""Short""]"
