month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status
2022-03,200.48042289981797,3,2,1,0.6666666666666666,2.3329935897813527,350.8790628007812,-150.39863990096322,18.22706972186907,18.2332758698833,1.9735972900450005,positive
2022-04,-452.9448247781231,3,0,3,0.0,0.0,0.0,-452.9448247781231,21.620620583818763,21.620104031802825,0.3240365567790001,negative
2022-05,-18.482445241066415,4,2,2,0.5,0.9347705551555767,264.8626803406147,-283.34512558168115,12.308271991354154,12.291527177765037,1.9051905414,negative
2022-06,49.54817991943696,8,4,4,0.5,1.0879605098934257,612.8484606871382,-563.3002807677013,29.456778325837796,29.469666788332773,-0.29313658112999996,positive
2022-07,229.57878364267316,5,3,2,0.6,1.7970826234422397,517.6026056289386,-288.0238219862655,27.079679140722583,27.070901241342796,2.7652186617750005,positive
2022-08,22.188526742507435,2,1,1,0.5,1.1460483495402687,174.11442533946192,-151.92589859695448,14.584997597889005,14.5704925324334,-0.09273669258800002,positive
2022-09,-245.82348656510254,6,2,4,0.3333333333333333,0.5882209481500409,351.1556105033753,-596.9790970684778,37.24552841806615,37.243311275847994,1.703183188132,negative
2022-10,-77.72696457726917,1,0,1,0.0,0.0,0.0,-77.72696457726917,5.398017926674703,5.389067860604323,0.0,negative
2022-11,-117.98538499480902,3,1,2,0.3333333333333333,0.43104695449192576,89.38741303538386,-207.37279803019288,7.519999676714654,7.50422166999663,-4.451606337012,negative
2023-01,32.37004600808086,4,2,2,0.5,1.1086612437353904,330.2687713982273,-297.8987253901464,30.322823603268766,30.31792146400021,4.97393692618,positive
2023-02,20.12875210075967,2,1,1,0.5,1.139434971574019,164.488175518968,-144.35942341820834,15.056922080105323,15.084382699017745,-0.55780724,positive
2023-03,730.839834252924,6,5,1,0.8333333333333334,5.890967020498567,880.2662832945748,-149.42644904165084,36.55264833250722,36.510969185106184,-1.81664135732,positive
2023-04,13.788315952108917,2,1,1,0.5,1.0870213810569258,172.23576627571575,-158.44745032360683,18.167823646276965,18.186970231391392,2.0835529555440004,positive
2023-06,-55.974200889510655,4,2,2,0.5,0.8236224096152306,261.3801793772931,-317.35438026680373,30.24968068157638,30.24369553032959,3.56704566572,negative
2023-08,198.4485332805958,3,2,1,0.6666666666666666,2.323754514372042,348.36192819334906,-149.91339491275323,24.71527986525642,24.7069486271751,-2.442671083864,positive
2023-10,187.19955007185536,1,1,0,1.0,0.0,187.19955007185536,0.0,4.301271777124491,4.303915134691037,0.4167324,positive
2023-11,-159.0516628666996,1,0,1,0.0,0.0,0.0,-159.0516628666996,7.930074605869585,7.938221516628189,0.0,negative
2023-12,9.095295890339912,2,1,1,0.5,1.0556838154169594,172.43352661742838,-163.33823072708847,19.052674609329834,19.06049885875947,6.21884816,positive
2024-01,-240.45229561307792,3,1,2,0.3333333333333333,0.2720420330027915,89.85839059993525,-330.3106862130132,19.854070603659324,19.861419722626856,14.465774856674,negative
2024-02,524.9320471527069,3,3,0,1.0,0.0,524.9320471527069,0.0,28.186684385904513,28.203790331069712,5.393640270416,positive
2024-03,-275.7220628742904,4,1,3,0.25,0.4135226607537681,194.4104459600002,-470.13250883429055,20.657082043369243,20.644616997192884,2.193568703745,negative
2024-04,278.0612779950308,2,2,0,1.0,0.0,278.0612779950308,0.0,9.770030270506556,9.772933453779405,-2.327049278652,positive
2024-05,-138.59557839484114,3,1,2,0.3333333333333333,0.5651971862038981,180.15943881586782,-318.75501721070896,23.361116996016058,23.353822965932416,1.241310743244,negative
2024-06,-157.00706836101256,1,0,1,0.0,0.0,0.0,-157.00706836101256,7.364470945611718,7.358725183020447,-0.552093808035,negative
2024-07,-150.4981150241241,1,0,1,0.0,0.0,0.0,-150.4981150241241,4.923698960331896,4.9271169018806535,-0.48950460000000007,negative
2024-08,145.14416843001868,5,3,2,0.6,1.4549378874501089,464.1858935400997,-319.0417251100811,29.186203411087103,29.194018133165127,-0.46617490342400025,positive
2024-09,-156.2774692203837,1,0,1,0.0,0.0,0.0,-156.2774692203837,6.433065736479524,6.438000536211388,1.4697305248579995,negative
2024-11,116.18567717837408,3,2,1,0.6666666666666666,1.7575192793703145,269.56220546284635,-153.37652828447227,15.972312186614655,15.973205889559338,1.1941838643199998,positive
2024-12,218.61319788382167,3,2,1,0.6666666666666666,2.47233808759719,367.09349580275386,-148.4802979189322,17.12198365442451,17.123503486053917,-2.628863089912,positive
2025-01,-137.92572773301953,3,1,2,0.3333333333333333,0.568311226077131,181.576969730369,-319.50269746338853,25.910510153497455,25.911150728131165,-3.1224894153819998,negative
2025-02,-105.93446140162487,5,2,3,0.4,0.7193666492936549,271.54904558352587,-377.48350698515077,22.066019196737102,22.062891485208674,-1.6779546180609999,negative
2025-03,-91.79896045550288,5,2,3,0.4,0.8007206728199621,368.8557484625355,-460.6547089180384,26.51479145979321,26.51339070316097,0.009452568064999889,negative
2025-04,202.69618200940187,3,2,1,0.6666666666666666,2.3278850133330105,355.34206623444595,-152.64588422504409,21.80084996420472,21.801531506399115,-0.19918377294,positive
2025-05,-159.9507756812871,1,0,1,0.0,0.0,0.0,-159.9507756812871,7.528399791242501,7.529862922704081,2.817158375044001,negative
2025-07,171.65064885892525,1,1,0,1.0,0.0,171.65064885892525,0.0,11.231550518079029,11.232381108633243,0.212436781056,positive
2025-10,182.01975620412298,1,1,0,1.0,0.0,182.01975620412298,0.0,8.00915984197695,8.00919514440361,0.0,positive
2025-11,26.279136011349863,2,1,1,0.5,1.1655250673334963,185.04140951282045,-158.7622735014706,14.037523474700926,14.03301571684169,-1.3436088878999999,positive
2025-12,198.3661980159127,3,2,1,0.6666666666666666,2.186162597457648,365.5997614759975,-167.23356346008484,28.240632784530113,28.24526023973696,0.19873662358599997,positive
2026-01,376.0357310140663,2,2,0,1.0,0.0,376.0357310140663,0.0,15.48352375861479,15.47894878422175,-0.34717200226199996,positive
2026-02,602.6520085741249,3,3,0,1.0,0.0,602.6520085741249,0.0,17.928303174560206,17.924775068227493,-2.2248134734140006,positive
2026-03,-140.61167425996837,3,1,2,0.3333333333333333,0.5870047534192008,199.856346677553,-340.4680209375214,21.19423876194083,21.18975378883252,0.809559379691,negative
2026-04,-345.8694102021675,2,0,2,0.0,0.0,0.0,-345.8694102021675,19.94270787956234,19.936906232679668,-1.2531385527149994,negative
2026-06,-43.72414922589127,4,2,2,0.5,0.869541540009805,291.4334881490821,-335.1576373749734,26.224088043818835,26.22875721520982,-0.7728264555999999,negative
