trade_id,source_system,original_pf12,added_pf70,added_pf80,retained_pf70,removed_pf70,modified_exit,modified_risk,sleeve,pnl
PF8_T_100,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,158.5852975175493
PF8_T_101,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-123.13337673978928
PF8_T_102,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,157.81849480444478
PF8_T_103,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,117.51014604724128
PF8_T_104,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,165.95684990562503
PF8_T_105,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,165.56707185497507
PF8_T_106,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-128.14836220694673
PF8_T_107,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-128.57317615663288
PF8_T_108,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,161.59333732479956
PF8_T_109,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,159.52070757084056
PF8_T_110,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,161.90724446705048
PF8_T_111,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-131.128114013926
PF8_T_112,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-134.7289266944439
PF8_T_113,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-130.87926710398057
PF8_T_114,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,162.0532611241541
PF8_T_115,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-124.44519351034388
PF8_T_116,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,163.2541800044696
PF8_T_117,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-135.57251210394816
PF8_T_118,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,157.93867860646722
PF8_T_119,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,158.8500857433556
PF8_T_120,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,165.36572222595652
PF8_T_121,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,163.64254056482463
PF8_T_122,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,169.92663727666744
PF8_T_123,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-144.4933316375922
PF8_T_124,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-140.47850841218553
PF8_T_125,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,109.85589393096947
PF8_T_126,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-142.07787888435652
PF8_T_127,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,166.1078815650193
PF8_T_128,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,163.9363926757808
PF8_T_129,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-133.36702819973115
PF8_T_130,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-131.19626936892192
PF8_T_131,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-132.2122266724447
PF8_T_132,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-135.50637336688422
PF8_T_133,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,160.50819611347492
PF8_T_134,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,125.66471200692602
PF8_T_135,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,117.85284810360113
PF8_T_136,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,85.25043276412296
PF8_T_137,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,121.07163823338621
PF8_T_138,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,119.21710623429819
PF8_T_139,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-144.62537690221947
PF8_T_140,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-154.20064826849037
PF8_T_141,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,124.13806708575007
PF8_T_142,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,127.1963700336026
PF8_T_143,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-151.78868205708574
PF8_T_144,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,163.35635344180662
PF8_T_145,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-144.6748144404074
PF8_T_146,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,122.54520518321503
PF8_T_147,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,187.76391072857942
PF8_T_148,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-65.6467268868409
PF8_T_149,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,87.26156823747831
PF8_T_150,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,182.35595075150914
PF8_T_151,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-153.17646227460023
PF8_T_152,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-140.58631357673988
PF8_T_153,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,177.44884281230506
PF8_T_154,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-147.32907398393493
PF8_T_155,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-145.26583741489705
PF8_T_156,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,212.04716141278288
PF8_T_157,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-147.39037286114623
PF8_T_158,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,175.88630015426492
PF8_T_159,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,175.6140839850482
PF8_T_160,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,183.88350209598408
PF8_T_161,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-147.41177170731268
PF8_T_162,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,198.1786345395374
PF8_T_163,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,181.70204353907639
PF8_T_164,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-154.8860904402257
PF8_T_165,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,179.54042632402943
PF8_T_166,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-151.31737868188915
PF8_T_167,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,183.16778201394214
PF8_T_168,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,187.5073424237017
PF8_T_169,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,189.37424035350932
PF8_T_170,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,192.45074785888684
PF8_T_171,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-160.7435592860019
PF8_T_172,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-171.2224841194487
PF8_T_173,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,182.88027908597243
PF8_T_174,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-165.82720803260816
PF8_T_175,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-162.90798662288734
PF8_T_176,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-159.0060185704277
PF8_T_177,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,185.19997855612783
PF8_T_178,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,186.1546030019732
PF8_T_179,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,191.26307848118384
PF8_T_180,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-153.58049568236538
PF8_T_181,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-152.39275297113352
PF8_T_182,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,105.86276965036457
PF8_T_183,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,204.48411894761568
PF8_T_184,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,190.02252647281213
PF8_T_185,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-172.37804734609722
PF8_T_186,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-159.79984077089506
